persona,workflow_stage,job,context,goal,success_criteria,pain_points,sources,evidence_strength,keywords
Platform Administrator,OPTIMIZE,Enable automatic metrics discovery for Tekton Results and Pipelines webhook,Setting up monitoring and alerting for Pipelines components,Use automatically created ServiceMonitor resources for Prometheus Operator integration,ServiceMonitor created for tekton-results; ServiceMonitor created for tekton-pipelines-webhook; Prometheus automatically discovers metrics endpoints,Manual ServiceMonitor creation required; No automatic Prometheus integration; Additional monitoring setup steps,op-release-notes-1-22-self-managed-reduced.adoc lines 202-205,direct,ServiceMonitor; Tekton Results; tekton-pipelines-webhook; Prometheus Operator; metrics discovery
CI/CD Engineer,OPTIMIZE,Reduce VCS API load with Pipelines as Code file caching,Using PAC with path-based filtering that makes many API calls,Enable caching of changed files per event to minimize VCS API calls and avoid rate limits,Changed files cached per event; path.pathChanged() evaluations use cache; on-path-change annotations use cache; Reduced API rate limit risk,Redundant VCS API calls for changed files; API rate limit errors; Performance issues with path-based filtering,op-release-notes-1-22-self-managed-reduced.adoc lines 210-213,direct,Pipelines as Code; file caching; path.pathChanged(); on-path-change; VCS API; rate limits
CI/CD Engineer,USE,Reduce comment noise with update comment strategy for GitLab and GitHub,Managing Pipelines as Code with GitLab or GitHub webhooks,Maintain single status comment per PipelineRun that updates instead of creating multiple comments,update comment strategy available; Single comment updated with new status; Comment includes current commit SHA; Reduced repository comment clutter,Multiple comments per PipelineRun; Comment noise in repositories; Poor readability of PR/MR discussions,op-release-notes-1-22-self-managed-reduced.adoc lines 216-219,direct,comment strategy update; GitLab webhooks; GitHub webhooks; Pipelines as Code; status comment; reduced noise
Developer,USE,Skip pipeline execution for work-in-progress commits with commit message tags,Pushing work-in-progress or minor commits that should not trigger pipelines,Use commit message tags to skip pipeline execution and save resources,"Commit tags [skip ci], [ci skip], [skip tkn], [tkn skip] work; Pipeline execution skipped for tagged commits; Tags are case-insensitive",Cannot skip pipelines for WIP commits; Unnecessary pipeline runs waste resources; No control over pipeline triggering,op-release-notes-1-22-self-managed-reduced.adoc lines 221-240,direct,skip ci; ci skip; skip tkn; tkn skip; commit message tags; pipeline skipping; GitLab note about extra entry
CI/CD Engineer,USE,Use glob patterns for GitHub App token scoping in Pipelines as Code,Managing many private Git submodules with GitHub App,Grant token access to multiple repositories using wildcard patterns in single configuration,Glob patterns supported in secret-github-app-scope-extra-repos; Patterns like owner/* work; Works in global config maps and Repository CR,Need to list each repository individually; Managing many private submodules difficult; Token scoping configuration overhead,op-release-notes-1-22-self-managed-reduced.adoc lines 243-278,direct,glob patterns; GitHub App token scoping; wildcard patterns; secret-github-app-scope-extra-repos; github_app_token_scope_repos; private submodules
Security Engineer,USE,Enforce webhook signature validation for Forgejo and Gitea providers,Using Pipelines as Code with Forgejo or Gitea VCS providers,Ensure incoming webhook requests are validated and authenticated from trusted sources,Webhook signature validation enabled; Unauthenticated requests rejected; Spoofed requests prevented,Webhook validation previously skipped; Risk of unauthenticated pipeline triggers; Security vulnerability,op-release-notes-1-22-self-managed-reduced.adoc lines 281-284,direct,webhook signature validation; Forgejo; Gitea; security; authentication; spoofing prevention
CI/CD Engineer,USE,Use CEL expressions in Pipelines as Code pipeline templates,Creating dynamic pipeline templates in Pipelines as Code,Use cel: prefix to evaluate Common Expression Language expressions inline in templates,"cel: prefix supported in templates; Can perform ternary operations; Can perform presence checks; Can compose complex strings; body, headers, files, pac namespaces available",Limited to simple data extraction; Cannot perform inline logic; Need complex conditional logic in templates,op-release-notes-1-22-self-managed-reduced.adoc lines 287-297,direct,CEL expressions; cel: prefix; pipeline templates; ternary operators; presence checks; Pipelines as Code
DevOps Engineer,OPTIMIZE,Improve Pipelines as Code performance with batched GitHub GraphQL API calls,Using PAC with GitHub or GitHub Enterprise with many .tekton files,Benefit from batched GraphQL API calls that reduce GitHub API call count,Multiple .tekton files fetched in single request; Reduced GitHub API call count; Improved performance; Reduced API rate limit risk,Many individual REST API calls; GitHub API rate limit issues; Slow .tekton file retrieval,op-release-notes-1-22-self-managed-reduced.adoc lines 299-302,direct,GitHub GraphQL API; batched requests; Pipelines as Code; .tekton files; performance optimization; API rate limits
Developer,USE,View ANSI color codes in OpenShift console log viewer,Viewing TaskRun and PipelineRun logs in OpenShift console,See colored logs with ANSI color code support for better readability,ANSI color codes rendered in console; Logs more readable; Better visual distinction in output,Logs displayed without color; Poor readability of plain text logs; Cannot distinguish log levels visually,op-release-notes-1-22-self-managed-reduced.adoc lines 307-310,direct,ANSI color codes; OpenShift console; log viewer; TaskRun logs; PipelineRun logs; readability
Platform Administrator,EVALUATE,Configure multi-cluster mode in TektonConfig (Technology Preview),Planning multi-cluster Pipelines deployment,Enable and configure multi-cluster setup with Hub or Spoke role,multi-cluster-disabled setting available; multi-cluster-role configurable as Hub or Spoke; Multi-cluster configuration documented,No native multi-cluster support; Manual multi-cluster setup complex; Need centralized configuration,op-release-notes-1-22-self-managed-reduced.adoc lines 320-337,direct,multi-cluster; Technology Preview; TektonConfig; Hub role; Spoke role; multi-cluster-disabled; scheduler
Platform Administrator,OPTIMIZE,Optimize Hub cluster resources with automatic Results scaling in multi-cluster mode (Technology Preview),Operating multi-cluster Hub with centralized Results API,Reduce Hub cluster resource usage by automatically scaling down watcher and retention-policy-agent to zero replicas,watcher replicas set to 0 on Hub; retention-policy-agent replicas set to 0 on Hub; Resource usage reduced; Results API remains operational,Unnecessary components running on Hub; Wasted Hub cluster resources; Components only needed on Spoke,op-release-notes-1-22-self-managed-reduced.adoc lines 339-342,direct,multi-cluster Hub; automatic scaling; tekton-results-watcher; tekton-results-retention-policy-agent; zero replicas; resource optimization; Technology Preview
Platform Administrator,USE,Install and manage Tekton Scheduler with Pipelines Operator (Technology Preview),Setting up resource allocation and queuing for pipelines,Deploy Tekton Scheduler (Tekton-Kueue) using Pipelines Operator for pipeline resource management,Scheduler section available in TektonConfig CR; Scheduler installation managed by operator; Default queue name configurable; Multi-cluster support available,Manual Tekton Scheduler installation; No operator management; Need to install upstream Kueue separately,op-release-notes-1-22-self-managed-reduced.adoc lines 344-351,direct,Tekton Scheduler; Tekton-Kueue; Technology Preview; TektonConfig; scheduler section; queue name; multi-cluster; Kueue
DevOps Engineer,USE,Differentiate federated PipelineRuns in multi-cluster UI (Technology Preview),Viewing PipelineRuns in multi-cluster UI,Visually distinguish between local Hub PipelineRuns and federated PipelineRuns using icon indicator,Icon differentiates local vs federated; managedBy field evaluated; Clear visual distinction in UI,Cannot distinguish local vs federated PipelineRuns; Unclear which PipelineRuns are remote; Poor multi-cluster visibility,op-release-notes-1-22-self-managed-reduced.adoc lines 353-356,direct,federated PipelineRun; multi-cluster UI; visual indicator; managedBy field; Technology Preview; Hub cluster
Platform Administrator,MIGRATE,Enable console plugin explicitly after upgrading to Pipelines 1.22,Upgrading to OpenShift Pipelines 1.22 with console plugin changes,Understand that console plugin must be explicitly enabled for Pipelines section to appear,Console plugin enabled; Pipelines navigation visible; No legacy static plugin entry,Breaking change in console integration; Pipelines section not visible by default; Legacy static console plugin deprecated,op-release-notes-1-22-self-managed-reduced.adoc lines 363-368,direct,console plugin; breaking change; explicit enablement; legacy static console plugin; Pipelines navigation
CI/CD Engineer,TROUBLESHOOT,Work around buildah-ns task failure on OpenShift 4.20+,Using buildah-ns task on OpenShift 4.20 or later,Use standard buildah task with hostUsers: false in PodTemplate to enable user namespaces,buildah task works with hostUsers: false; User namespace support via Kubernetes-native mechanism; No dependency on removed CRI-O annotations,buildah-ns task fails on OpenShift 4.20+; CRI-O annotation io.kubernetes.cri-o.userns-mode removed; Cannot build images with user namespaces,op-release-notes-1-22-self-managed-reduced.adoc lines 373-378,direct,buildah-ns task; OpenShift 4.20; user namespaces; hostUsers false; CRI-O annotations removed; workaround
DevOps Engineer,TROUBLESHOOT,Understand tkn CLI limitations in multicluster environments,Operating tkn CLI tool in multicluster Hub and Spoke setup,Recognize which tkn commands do not work correctly in multicluster and use alternatives,Known limitations documented; Workarounds identified for affected commands; Correct tool usage in multicluster,tkn taskrun list fails on Hub; tkn pipelinerun describe fails; tkn pipelinerun logs fails; tkn pipelinerun cancel fails; pipelinerun/taskrun list only works during run on Spoke,op-release-notes-1-22-self-managed-reduced.adoc lines 380-392,direct,tkn CLI; multicluster limitations; Hub cluster; Spoke cluster; taskrun list; pipelinerun describe; pipelinerun logs; pipelinerun cancel
DevOps Engineer,TROUBLESHOOT,Work around opc results logs get command line limit,Retrieving logs from Tekton Results with more than 300 lines,Use opc results pipelinerun logs or opc results taskrun logs commands for complete output,Complete log output retrieved; No 300-line truncation; Correct command used,opc results logs get limited to 300 lines; Cannot view complete logs; Incomplete log output,op-release-notes-1-22-self-managed-reduced.adoc lines 394-399,direct,opc results logs get; 300-line limit; workaround; opc results pipelinerun logs; opc results taskrun logs; command deprecation
Platform Administrator,USE,Ensure Affinity Assistant pods inherit correct service account,Using affinity assistant to co-schedule tasks with shared workspaces,Verify Affinity Assistant pods use PipelineRun service account instead of default service account,Affinity Assistant inherits PipelineRun service account; Correct SCC permissions applied; PipelineRuns with workspaces start successfully,Affinity Assistant used wrong service account; Tasks requiring workspace access blocked; SCC permission issues,op-release-notes-1-22-self-managed-reduced.adoc lines 406-409,direct,Affinity Assistant; service account; taskRunTemplate; Security Context Constraints; SCC; workspace access
DevOps Engineer,TROUBLESHOOT,Identify TaskRun pod configuration errors early with clear error messages,TaskRuns failing to start due to missing config maps or secrets,Receive immediate clear error messages identifying specific configuration issues,TaskRun fails immediately with clear error; Specific missing resource identified; No timeout waiting for generic error,TaskRun times out silently on config errors; Generic timeout messages; Cannot identify root cause; Long wait for timeout,op-release-notes-1-22-self-managed-reduced.adoc lines 411-414,direct,TaskRun pod configuration errors; clear error messages; missing config map; missing secret; early failure
Platform Administrator,OPTIMIZE,Reduce controller reconciliation load for runs without timeouts,Operating pipelines controller with many running TaskRuns and PipelineRuns,Ensure runs without timeout configurations do not cause excessive reconciliation loops,Reconciliation only on actual changes; Reduced CPU usage on controller; Improved cluster performance and scalability,Excessive reconciliation for runs without timeouts; High controller CPU usage; Increased latency and degraded performance,op-release-notes-1-22-self-managed-reduced.adoc lines 416-419,direct,reconciliation optimization; timeout configuration; controller performance; CPU usage; scalability
CI/CD Engineer,USE,Use parameter references in pipeline parameter defaults,Defining pipeline parameters with fallback patterns,Reference other parameters in default values to enable flexible fallback patterns,"Parameter defaults support references to other parameters; Arbitrary dependency chains work; Circular dependencies detected with clear errors; All parameter types supported (string, array, object)",Cannot reference other parameters in defaults; Literal strings used instead of resolved values; Task pod creation fails; Limited fallback pattern support,op-release-notes-1-22-self-managed-reduced.adoc lines 421-424,direct,pipeline parameter defaults; parameter references; fallback patterns; circular dependencies; params.X notation
DevOps Engineer,USE,Improve PipelineRun resilience to retryable TaskRef errors,Running PipelineRuns that reference remote tasks,Ensure PipelineRuns retry on retryable TaskRef reconciliation errors instead of failing,PipelineRuns retry on retryable errors; Only explicit validation errors cause failure; Improved resilience to transient issues,PipelineRuns fail on transient TaskRef errors; Unnecessary failures; Poor reliability,op-release-notes-1-22-self-managed-reduced.adoc lines 426-429,direct,TaskRef reconciliation; retryable errors; PipelineRun resilience; validation errors
DevOps Engineer,USE,Use Kubernetes-native sidecars with proper signal handling,Running TaskRuns with Kubernetes-native sidecars,Ensure sidecars handle signals correctly and operate reliably,Signal handling added to SidecarLog results; No repeated init container restarts; Sidecars operate reliably,Init container restarts; Improper signal handling; Sidecar reliability issues,op-release-notes-1-22-self-managed-reduced.adoc lines 431-434,direct,Kubernetes-native sidecars; signal handling; SidecarLog results; init container restarts
DevOps Engineer,TROUBLESHOOT,Inspect timed-out TaskRun pods when keep-pod-on-cancel enabled,Debugging timed-out TaskRuns with keep-pod-on-cancel feature flag,Ensure pods are retained for timed-out TaskRuns for debugging purposes,keep-pod-on-cancel feature flag honored; Pods retained on timeout; Can inspect pod state,Pods not retained on timeout; Cannot debug timed-out tasks; Inconsistent pod retention,op-release-notes-1-22-self-managed-reduced.adoc lines 436-439,direct,keep-pod-on-cancel; timed-out TaskRuns; pod retention; debugging
DevOps Engineer,USE,View StepAction status in correct chronological order,Reviewing task execution timeline using StepAction,See status steps displayed in correct sequential order for accurate interpretation,Status steps in correct order; Chronological flow clear; Accurate execution timeline,Status steps in wrong order; Difficult to understand execution flow; Inaccurate timeline,op-release-notes-1-22-self-managed-reduced.adoc lines 441-444,direct,StepAction status; chronological order; execution timeline; status steps
DevOps Engineer,USE,Run TaskRuns successfully on arm64 clusters,Operating TaskRuns on arm64 Kubernetes clusters,Ensure TaskRuns execute reliably on arm64 architecture without platform variant issues,TaskRuns succeed on arm64 clusters; Entrypoint handles Linux platform variants; No architecture-specific failures,TaskRun failures on arm64; Platform variant mismatch in entrypoint; Architecture compatibility issues,op-release-notes-1-22-self-managed-reduced.adoc lines 446-449,direct,arm64 clusters; platform variant mismatch; entrypoint logic; TaskRun success
Platform Administrator,OPTIMIZE,Reduce API server load from PipelineRun status updates,Operating large-scale pipelines with many status updates,Ensure consistent array ordering in PipelineRun status to reduce invalid status updates,Array ordering consistent in status; Reduced invalid status updates; Improved API server performance; Better cluster stability,Massive invalid status updates; High API server load; Cluster performance degradation,op-release-notes-1-22-self-managed-reduced.adoc lines 451-454,direct,PipelineRun status updates; array ordering; API server load; cluster stability; performance
Platform Administrator,USE,Ensure operator webhooks are cleaned up when namespace is deleted,Uninstalling Pipelines Operator by deleting openshift-pipelines namespace,Verify all operator webhooks are removed with proper owner references,Owner references added to all webhooks; Webhooks cleaned up on namespace deletion; No orphaned webhooks remain,Webhooks not removed on operator uninstall; Orphaned webhooks remain on cluster; Manual cleanup required,op-release-notes-1-22-self-managed-reduced.adoc lines 459-462,direct,webhook cleanup; owner references; namespace deletion; proxy.operator.tekton.dev; validation.pipelinesascode.tekton.dev; namespace.operator.tekton.dev
Platform Administrator,TROUBLESHOOT,Fix Prometheus metrics collection when Operator installed in custom namespace,Pipelines Operator installed in non-default namespace like openshift-pipelines,Ensure ServiceMonitor targets correct namespace for metrics scraping,ServiceMonitor auto-targets operator namespace; No hardcoded namespace reference; Prometheus metrics collection works; No PrometheusKubernetesListWatchFailures alerts,Hardcoded openshift-operators namespace reference; Prometheus scrapes wrong namespace; Permission errors; Alert triggered,op-release-notes-1-22-self-managed-reduced.adoc lines 464-467,direct,ServiceMonitor; custom namespace; Prometheus metrics; openshift-pipelines namespace; PrometheusKubernetesListWatchFailures
CI/CD Engineer,USE,Use custom parameters in Pipelines as Code CEL expressions,Defining repository-specific parameters for event filtering in PAC,Reference custom parameters from Repository CR in on-cel-expression annotations,Custom parameters exposed as CEL variables; Parameters usable in CEL expressions; Standard variables take precedence on conflicts,Custom parameters not recognized in CEL; Undeclared reference errors; Cannot use repository-specific filtering,op-release-notes-1-22-self-managed-reduced.adoc lines 473-508,direct,custom parameters; Repository CR; on-cel-expression; CEL variables; Pipelines as Code; params field
CI/CD Engineer,USE,Skip CI execution for commits with [skip ci] tag in GitLab merge requests,Using GitLab with Pipelines as Code for MR automation,Ensure [skip ci] commit messages are honored and PipelineRuns are not created,[skip ci] tag recognized in commit messages; Pipeline execution skipped; Unnecessary runs prevented,[skip ci] not honored in GitLab; PipelineRuns created despite skip directive; Resource waste,op-release-notes-1-22-self-managed-reduced.adoc lines 511-514,direct,skip ci commit message; GitLab merge request; skip directive; Pipelines as Code
CI/CD Engineer,USE,Resolve tasks from custom hub catalogs with version specifiers,Using custom hub catalogs with versioned task references,Use versioned catalog references like foo://resource:1.2 without invalid port errors,Non-HTTP(S) schemes supported; Version specifiers parsed correctly; Custom catalog resolution works,Invalid port error on version delimiter; url.Parse interprets version as port; Task resolution fails,op-release-notes-1-22-self-managed-reduced.adoc lines 516-519,direct,custom hub catalog; version specifiers; non-HTTP schemes; url.Parse error; task resolution
DevOps Engineer,USE,Use tkn pac cel command with required flags and clear errors,Testing CEL expressions with tkn pac cel command,Receive clear error messages when required flags are missing,Body (-b) and header (-H) flags mandatory; Clear error messages for missing arguments; No misleading errors,Misleading auto-detection failed errors; Unexpected end of JSON input errors; Unclear what flags are required,op-release-notes-1-22-self-managed-reduced.adoc lines 521-524,direct,tkn pac cel; required flags; -b body; -H header; error messages
CI/CD Engineer,USE,Reliably populate pull_request_number variable for push events,Push events associated with pull request merges,Ensure pull_request_number variable is populated even with GitHub API indexing delays,Exponential backoff retry mechanism in place; pull_request_number populated reliably; Works with merge commit strategy,pull_request_number occasionally not populated; GitHub API indexing delays; Intermittent failures for subsequent tasks,op-release-notes-1-22-self-managed-reduced.adoc lines 526-529,direct,pull_request_number variable; push events; merge commits; GitHub API delays; exponential backoff retry
CI/CD Engineer,USE,Evaluate all modified files in GitLab push events for trigger filtering,Using file-based filtering in Pipelines as Code with GitLab,Ensure all modified files are evaluated not just first 20 due to API pagination,API pagination implemented; All modified files retrieved; files CEL variable complete; pathChanged() method accurate,Only first 20 modified files evaluated; Pipelines not triggered for changes beyond limit; Incomplete file evaluation,op-release-notes-1-22-self-managed-reduced.adoc lines 531-534,direct,GitLab push events; modified files; API pagination; files CEL variable; pathChanged(); 20-file limit
CI/CD Engineer,USE,View accurate GitLab commit statuses throughout pipeline lifecycle,Using Pipelines as Code with GitLab forked merge requests,See correct pending and running statuses in GitLab for /ok-to-test approval workflow,Pending state displayed before approval; Running state after pipeline starts; Parent status entry updated; Accurate status throughout lifecycle,Running status shown instead of pending; Parent status not updated; Incorrect status mapping,op-release-notes-1-22-self-managed-reduced.adoc lines 536-539,direct,GitLab commit status; forked merge request; /ok-to-test; pending state; running state; status mapping
CI/CD Engineer,USE,Reduce GitLab merge request comment noise with permission-based fallback,Using Pipelines as Code with GitLab with restricted permissions,Only post fallback comments when commit status update fails due to permissions,Fallback comments only on permission failures; No misleading pipeline run started comments; Reduced comment noise,Comments posted on all status update failures; Misleading comments; Too many comments,op-release-notes-1-22-self-managed-reduced.adoc lines 541-544,direct,GitLab merge request comments; permission failures; fallback comments; commit status update
DevOps Engineer,USE,Handle invalid GitLab input in tkn pac cel command safely,Testing CEL expressions with GitLab provider,Receive descriptive errors instead of nil pointer dereference panic,Input validation before processing; Descriptive error messages; No panic on malformed input,Nil pointer dereference panic; Cannot handle malformed payloads or headers; Poor error handling,op-release-notes-1-22-self-managed-reduced.adoc lines 546-549,direct,tkn pac cel; GitLab provider; nil pointer dereference; input validation; malformed payloads
Security Engineer,USE,Re-evaluate /ok-to-test approvals per commit when remember-ok-to-test is false,Reviewing pull requests from unauthorized users with security controls,Ensure each new commit requires fresh /ok-to-test approval when remember-ok-to-test=false,Permissions re-evaluated per commit; Single approval not retained; CI blocked until new approval,Single approval incorrectly retained; Unreviewed commits execute in CI; Security policy not enforced,op-release-notes-1-22-self-managed-reduced.adoc lines 551-554,direct,ok-to-test re-evaluation; remember-ok-to-test false; commit-level approval; unauthorized user; security
DevOps Engineer,USE,View correct logging for intentionally skipped push events,Operating Pipelines as Code with push events associated with open PRs,See info-level logging for skipped events instead of error-level,Skipped push events logged at info level; No confusing error logs; Expected behavior clearly logged,Error-level logs for expected behavior; Confusion during troubleshooting; Misleading log messages,op-release-notes-1-22-self-managed-reduced.adoc lines 557-560,direct,skipped push events; logging level; info level; error level; open pull request
CI/CD Engineer,USE,View individual status for each PipelineRun in Bitbucket Cloud pull requests,Running multiple pipelines per pull request in Bitbucket Cloud,See individual commit status for each PipelineRun instead of single overwritten status,Unique commit status key per PipelineRun; Format: ApplicationName / PipelineRunName; All pipeline results visible; No status overwriting,Static commit status key; Each pipeline overwrites previous status; Cannot determine individual pipeline results; Only one build status visible,op-release-notes-1-22-self-managed-reduced.adoc lines 562-565,direct,Bitbucket Cloud; multiple PipelineRuns; commit status; unique key; ApplicationName / PipelineRunName
CI/CD Engineer,USE,Trigger pipelines based on label conditions using CEL expressions,Building event-driven pipelines that respond to pull request labeling,Ensure on-cel-expression annotations are evaluated during PR labeling events,CEL expressions evaluated on label events; AST inspection detects label references; Pipelines trigger on label conditions,CEL expressions not evaluated on labeling; Need on-label annotation workaround; Label-based conditions not working,op-release-notes-1-22-self-managed-reduced.adoc lines 568-571,direct,pull request labeling; on-cel-expression; label conditions; AST inspection; event evaluation
DevOps Engineer,USE,Update Git provider status when PipelineRuns are deleted or canceled,Managing PipelineRuns that are deleted while running or queued,Ensure Git provider commit status shows canceled instead of stuck in pending,Finalizer reports canceled status to Git provider; Commit status updated on deletion; No indefinite pending status,Deleted PipelineRuns stuck as pending in Git provider; Commit statuses never updated; Misleading UI state,op-release-notes-1-22-self-managed-reduced.adoc lines 573-576,direct,PipelineRun deletion; Git provider commit status; canceled status; finalizer; Running state; Queued state
DevOps Engineer,USE,View pipeline logs with preserved whitespace and horizontal scrolling,Viewing structured log output and tabular data in OpenShift console,See logs with preserved whitespace and horizontal scrolling for long lines,Whitespace preserved in logs; Horizontal scrolling available; Structured output aligned correctly; Tabular data readable,Whitespace not preserved; Long lines auto-wrapped; Misaligned structured output; Poor log readability,op-release-notes-1-22-self-managed-reduced.adoc lines 582-585,direct,pipeline run logs; whitespace preservation; horizontal scrolling; structured output; OpenShift console
Developer,USE,Access TaskSidebar correctly in Pipeline Builder,Using Pipeline Builder in OpenShift console,View TaskSidebar overlay with correct styling and accessibility,TaskSidebar renders above other elements; Required styling applied; Sidebar accessible; Header and content visible,TaskSidebar renders behind page elements; Only header visible; Cannot access sidebar content; Missing styling,op-release-notes-1-22-self-managed-reduced.adoc lines 587-590,direct,TaskSidebar; Pipeline Builder; styling property; overlay rendering; OpenShift console
Platform Administrator,PLAN,Plan migration from openshift-pipelines-client RPM,Using openshift-pipelines-client RPM for tkn CLI,Identify alternative distribution method before RPM is removed in 1.23,Alternative tkn CLI distribution identified; Migration plan created; No dependency on RPM in future,RPM deprecated; Will be removed in 1.23; Need alternative distribution,op-release-notes-1-22-self-managed-reduced.adoc lines 598-600,direct,openshift-pipelines-client RPM; deprecated; Pipelines 1.23 removal; tkn CLI
CI/CD Engineer,PLAN,Stop using pipelinerun_status field in Repository CR,Using Pipelines as Code Repository custom resources,Update configurations to avoid pipelinerun_status field before removal in 1.23,Alternative approach identified; Configurations updated; No dependency on deprecated field,Field deprecated; Will be removed in 1.23; Need to update integrations,op-release-notes-1-22-self-managed-reduced.adoc lines 602-605,direct,pipelinerun_status deprecated; Repository CR; Pipelines as Code; Pipelines 1.23 removal
