persona,workflow_stage,job,context,goal,success_criteria,pain_points,sources,evidence_strength,keywords
CI/CD Engineer,USE,Trigger and cancel PipelineRuns for Git tags using comments,Managing version-specific CI/CD workflows triggered by Git tags,Trigger or cancel PipelineRuns by commenting on tagged commits for specific versions,Can trigger with /test <pipeline> tag:<tag>; Can cancel with /cancel <pipeline> tag:<tag>; Supported for GitHub and GitLab,Cannot trigger pipelines on tagged commits; No version-specific pipeline control; Manual pipeline execution required,op-release-notes-1-21-self-managed-reduced.adoc lines 426-443,direct,Git tags; /test tag:; cancel tag:; PipelineRun; GitHub; GitLab; version-specific control
Security Engineer,USE,Enforce commit SHA validation for /ok-to-test commands to prevent TOCTOU attacks,Reviewing pull requests from untrusted contributors in GitHub,Prevent race condition vulnerability by requiring exact commit SHA in /ok-to-test approvals,"require-ok-to-test-sha setting is enabled; Users must specify exact SHA: /ok-to-test <sha>; Pipeline tied to specific commit, preventing force-push exploits",TOCTOU race condition vulnerability; Attacker could force-push malicious code after approval; No SHA validation on approvals,op-release-notes-1-21-self-managed-reduced.adoc lines 445-449,direct,ok-to-test; SHA validation; TOCTOU; race condition; require-ok-to-test-sha; security vulnerability
CI/CD Engineer,USE,Use glob patterns for incoming webhook targets in Pipelines as Code,Managing webhook configurations for repositories with many branches,Match multiple branch names with single glob pattern rules to simplify configuration,Glob patterns supported in Repository CR targets field; Patterns like feature/* and v[0-9]* work correctly; First matching webhook is used,Need separate rules for each branch pattern; Configuration management overhead; Cannot use wildcards or patterns,op-release-notes-1-21-self-managed-reduced.adoc lines 451-464,direct,incoming webhook; targets field; glob patterns; Repository CR; feature/*; shell prompt-style patterns
CI/CD Engineer,USE,Route incoming webhook requests to specific namespace using namespace parameter,Managing Pipelines as Code repositories with duplicate names across namespaces,Uniquely identify target Repository CR when multiple repositories share the same name,namespace parameter available in webhook requests; Correct routing even with duplicate repository names; 400 status returned when namespace needed but omitted,Ambiguous routing with duplicate repository names; Cannot specify target namespace; Webhook failures with name collisions,op-release-notes-1-21-self-managed-reduced.adoc lines 466-469,direct,incoming webhook; namespace parameter; repository parameter; Repository CR; unique identification
Platform Administrator,OPTIMIZE,Configure fine-grained retention policies for Tekton Results,Managing storage and retention of PipelineRun and TaskRun results across namespaces,"Set different retention periods based on namespace, labels, annotations, and status",Retention policies configured in tekton-results-config-results-retention-policy; First matching policy is applied; Different retention for production vs CI namespaces,Single retention period for all results; Cannot retain critical failures longer; Production and CI results treated the same,op-release-notes-1-21-self-managed-reduced.adoc lines 481-533,direct,retention policies; tekton-results-config; selector; matchNamespaces; matchLabels; matchStatuses; defaultRetention
Platform Administrator,EVALUATE,Verify PostgreSQL 17.5 support for Tekton Results,Planning database infrastructure for Tekton Results,Confirm that PostgreSQL version 17.5 is supported for Tekton Results deployment,PostgreSQL 17.5 is officially supported; Database compatibility is verified; Deployment can proceed with 17.5,Uncertainty about supported PostgreSQL versions; Need to plan database upgrades; Compatibility concerns,op-release-notes-1-21-self-managed-reduced.adoc lines 536-538,direct,PostgreSQL 17.5; Tekton Results; database support; compatibility
Platform Administrator,TROUBLESHOOT,Monitor runs not stored in database with new metrics,Operating Tekton Results and investigating missing pipeline run data,Track PipelineRun and TaskRun instances deleted before database persistence,runs_not_stored_count metric is available; Metric tracks kind and namespace; Can identify data loss patterns,Runs disappearing before storage; No visibility into missing data; Cannot diagnose deletion issues,op-release-notes-1-21-self-managed-reduced.adoc lines 542-553,direct,runs_not_stored_count; watcher container; PipelineRun; TaskRun; metrics; database persistence
Platform Administrator,OPTIMIZE,Monitor run storage latency with new metrics,Operating Tekton Results and optimizing database performance,Measure time between run completion and database storage to identify performance issues,run_storage_latency_seconds metric is available; Latency measured per kind and namespace; Performance bottlenecks can be identified,Unknown storage latency; Cannot identify performance issues; No metrics for storage timing,op-release-notes-1-21-self-managed-reduced.adoc lines 556-569,direct,run_storage_latency_seconds; watcher container; storage latency; performance monitoring; metrics
DevOps Engineer,USE,Use Tekton Results CLI across namespace switches without re-authentication,Working with Tekton Results across multiple namespaces,Maintain API configuration when switching between namespaces,Configuration persists across namespace switches; No need to run opc results config set repeatedly; Authentication maintained,Need to re-authenticate after namespace switch; Configuration lost on context change; Repetitive setup steps,op-release-notes-1-21-self-managed-reduced.adoc lines 571-574,direct,Tekton Results CLI; opc results config set; namespace switch; configuration persistence
Platform Administrator,MIGRATE,Upgrade default PostgreSQL database from version 13 to 15 for Tekton Results,Maintaining Tekton Results deployment before PostgreSQL 13 EOL,Complete automated migration from PostgreSQL 13 to 15 without data loss,Backup completed before upgrade; PVC has >50% free space; Migration completes successfully; Using PostgreSQL 15,PostgreSQL 13 approaching EOL; Manual migration complexity; Risk of data loss; Storage space requirements,op-release-notes-1-21-self-managed-reduced.adoc lines 576-584,direct,PostgreSQL migration; version 13 to 15; automated migration; EOL; backup; PVC free space
Platform Administrator,EVALUATE,Assess Tekton Cache general availability for production use,Evaluating features for production pipeline deployments,Confirm Tekton Cache is GA and supported for production workloads,Tekton Cache is GA (not TP); Fully supported for production; Feature stability verified,Technology Preview features not production-ready; Risk of unsupported features; Need GA guarantees,op-release-notes-1-21-self-managed-reduced.adoc lines 590-591,direct,Tekton Cache; General Availability; GA; production use; Technology Preview
DevOps Engineer,USE,Download Tekton Cache binaries for custom StepAction configurations,Building custom StepActions that require Tekton Cache binaries,Access Red Hat Tekton Cache binaries without authentication,Binaries available for public download; No authentication required; Can use in custom StepActions,Authentication required for downloads; Cannot access binaries easily; Custom configurations blocked,op-release-notes-1-21-self-managed-reduced.adoc lines 594-595,direct,Tekton Cache binaries; public download; StepAction; Red Hat binaries; no authentication
DevOps Engineer,USE,Use Docker credentials without config.json key for Tekton Cache,Configuring Tekton Cache with private registry authentication,Support Docker secrets that contain .dockerconfigjson instead of config.json,Docker secrets work without config.json key; DOCKER_CONFIG can point to .dockerconfigjson; Private registry authentication works,Secrets must have specific key structure; config.json requirement too restrictive; Credential flexibility limited,op-release-notes-1-21-self-managed-reduced.adoc lines 598-600,direct,Tekton Cache; Docker credentials; config.json; .dockerconfigjson; DOCKER_CONFIG; private registry
Security Engineer,USE,Enforce SHA-256 signature validation for GitHub webhooks,Securing Tekton Triggers webhook validation,"Ensure GitHub interceptor only accepts SHA-256 signatures, rejecting SHA-1",Only X-Hub-Signature-256 accepted; SHA-1 support dropped; Custom implementations updated to SHA-256,SHA-1 is cryptographically weak; Security posture needs improvement; Custom webhooks need updates,op-release-notes-1-21-self-managed-reduced.adoc lines 604-607,direct,GitHub interceptor; SHA-256 signature; X-Hub-Signature-256; SHA-1; HMAC validation; security
Platform Administrator,MIGRATE,Upgrade Tekton Hub default database from PostgreSQL 13 to 15,Maintaining Tekton Hub deployment before PostgreSQL 13 EOL,Complete automated migration to PostgreSQL 15 for continued stability and support,Migration from 13 to 15 completes successfully; Tekton Hub remains operational; Deployment stability maintained,PostgreSQL 13 EOL approaching; Migration complexity; Potential downtime during upgrade,op-release-notes-1-21-self-managed-reduced.adoc lines 612-615,direct,Tekton Hub; PostgreSQL migration; version 13 to 15; EOL; automated migration
Security Engineer,USE,Disable OCI image signing while maintaining provenance and attestation,Managing security artifacts in CI/CD pipelines with external image signing,Configure Tekton Chains to skip OCI image signing but still generate provenance and sign attestations,artifacts.oci.disable-signing option available; Image signing disabled; Provenance generation continues; Attestation signing continues,Cannot separate image signing from provenance; Need external image signing workflow; All-or-nothing signing configuration,op-release-notes-1-21-self-managed-reduced.adoc lines 619-627,direct,Tekton Chains; artifacts.oci.disable-signing; OCI image signing; provenance generation; attestation signing; cosign
DevOps Engineer,USE,Rerun resolver-based PipelineRuns with tkn CLI using --resolvertype flag,Re-executing previous PipelineRuns that used resolvers,"Specify resolver type when rerunning PipelineRuns that used git, http, hub, cluster, bundle, or remote resolvers",--resolvertype flag available in tkn p start; Can reference existing PipelineRun name; Resolver type correctly applied to rerun,Cannot rerun resolver-based PipelineRuns; Need to recreate PipelineRun manually; Resolver information lost,op-release-notes-1-21-self-managed-reduced.adoc lines 633-638,direct,tkn CLI; tkn p start; --resolvertype; resolver-based PipelineRun; git; hub; bundle; cluster
Platform Administrator,EVALUATE,Assess event-driven pruner general availability for production use,Evaluating pruning mechanisms for OpenShift Pipelines,Confirm event-driven tektonpruner is GA and adopt it for centralized pruning configuration,tektonpruner is GA (not TP); Fully supported for production; Better performance than job-based pruner,Multiple pruning mechanisms to manage; Job-based pruner performance issues; Need predictable cleanup behavior,op-release-notes-1-21-self-managed-reduced.adoc lines 644-647,direct,event-driven pruner; tektonpruner; General Availability; GA; centralized configuration; hierarchical configuration
Platform Administrator,USE,Configure namespace-level pruner policies to override global defaults,Managing pruning behavior for different namespaces with varying requirements,Define custom TTL and history limits per namespace using tekton-pruner-namespace-spec config map,Namespace-level config map overrides global defaults; Custom TTL and history limits applied; Policies work independently per namespace,Global pruning policy too restrictive or permissive; Cannot differentiate production vs development; One-size-fits-all approach insufficient,op-release-notes-1-21-self-managed-reduced.adoc lines 651-652,direct,namespace-level pruner; tekton-pruner-namespace-spec; config map; TTL; history limits; override global
Platform Administrator,USE,Configure selector-based pruning with matchLabels and matchAnnotations,Implementing fine-grained pruning policies based on resource characteristics,Create pruning rules that match resources by labels and annotations in namespace-level config maps,matchLabels selector works correctly; matchAnnotations selector works correctly; AND logic applied when both specified; Name matching has absolute precedence,Cannot prune based on resource metadata; All resources pruned the same way; Need granular control over retention,op-release-notes-1-21-self-managed-reduced.adoc lines 652-653,direct,selector-based pruning; matchLabels; matchAnnotations; tekton-pruner-namespace-spec; AND logic
Platform Administrator,GOVERN,Enforce cluster-wide maximum limits for event-driven pruner configuration,Preventing resource overuse from namespace-level pruner settings,Ensure namespace-specific pruner settings do not exceed cluster-wide maximum values,Maximum TTL is 2592000 seconds; Maximum history limit is 100; Global limits take precedence when set; Validation prevents excessive values,Namespace settings could cause resource issues; No upper bounds on retention; Risk of storage exhaustion,op-release-notes-1-21-self-managed-reduced.adoc lines 653-654,direct,cluster-wide maximum limits; event-driven pruner; TTL 2592000; history limit 100; validation
Platform Administrator,USE,Validate pruner config maps at apply-time using admission webhook,Creating or updating pruner configuration,Catch invalid pruner configurations immediately with clear error messages,Admission webhook validates config maps; Invalid configurations rejected at apply-time; Clear error messages provided; Config maps must have correct labels,Invalid configurations fail silently; No validation at apply-time; Difficult to debug configuration issues,op-release-notes-1-21-self-managed-reduced.adoc lines 654-661,direct,pruner config map validation; admission webhook; app.kubernetes.io/part-of: tekton-pruner; pruner.tekton.dev/config-type: namespace
CI/CD Engineer,TROUBLESHOOT,Evaluate CEL expressions interactively against webhook payloads using tkn pac cel (Technology Preview),Debugging Pipelines as Code CEL expressions in Repository configurations,Test and debug CEL expressions against real webhook data with tab completion,"tkn pac cel command available; Can load webhook payload and headers; Interactive prompt with tab completion; Variable access to body, headers, pac parameters",Cannot test CEL expressions before deployment; No debugging tools for CEL; Trial and error with live webhooks,op-release-notes-1-21-self-managed-reduced.adoc lines 676-697,direct,tkn pac cel; CEL expressions; Technology Preview; interactive mode; webhook payload; tab completion
CI/CD Engineer,USE,Configure group approvers for Manual Approval Gate tasks (Technology Preview),Setting up approval workflows for Manual Approval Gate,Enable group-based approvals where any group member can approve or reject,Group approvers specified with group:<groupName>; Any member can approve or reject; Approval by one member counts as single approval; Rejection by one member fails task; Messages from all members preserved,Only individual approvers supported; Need to list all team members; Approval workflow not team-friendly,op-release-notes-1-21-self-managed-reduced.adoc lines 703-708,direct,Manual Approval Gate; Approval Task; group approvers; group:<groupName>; Technology Preview; status.approverResponse
Platform Administrator,PLAN,Plan for console plugin enablement after Pipelines Operator installation,Upgrading to OpenShift Pipelines 1.21 with UI changes,Understand that static console plugin is deprecated and explicit enablement is required,Console plugin must be explicitly enabled; Pipelines navigation only visible when plugin active; No fallback limited Pipelines entry,Breaking change in UI behavior; Pipelines section not visible by default; Need to enable plugin manually,op-release-notes-1-21-self-managed-reduced.adoc lines 716-719,direct,console plugin; static console plugin deprecated; explicit enablement; Pipelines navigation; breaking change
CI/CD Engineer,PLAN,Plan for deprecation of pipelinerun_status field in Repository CR,Using Pipelines as Code Repository custom resources,Update integrations and automation to stop using pipelinerun_status field before removal,Alternative approach identified; Integrations updated; Automation no longer references deprecated field,Field will be removed in future release; Need to update existing workflows; Deprecation timeline uncertain,op-release-notes-1-21-self-managed-reduced.adoc lines 724-725,direct,pipelinerun_status; Repository CR; deprecated; Pipelines as Code; future removal
Security Engineer,MIGRATE,Migrate private OIDC provider from HS256 to RS256 tokens for Tekton Chains,Using keyless signing with Tekton Chains and private OIDC provider,Update OIDC provider to use RS256 tokens before upgrading to Pipelines 1.21,OIDC provider configured with RS256; HS256 tokens no longer used; Keyless signing continues to work,Cosign 2.6.0 breaking change; HS256 tokens no longer accepted; Need to reconfigure OIDC provider,op-release-notes-1-21-self-managed-reduced.adoc lines 730-731,direct,Tekton Chains; Cosign 2.6.0; HS256; RS256; keyless signing; OIDC provider; breaking change
Platform Administrator,TROUBLESHOOT,Resolve duplicate Pipelines navigation entries in OpenShift Console,Experiencing UI issue after Pipelines Operator installation or upgrade,Apply updates to OpenShift Console and Pipelines Operator to eliminate duplicate menu entries,Only one Pipelines navigation entry visible; Console plugin migration complete; Pipeline execution not affected,Two Pipelines entries in console menu; UI confusion; Migration from static to dynamic plugin,op-release-notes-1-21-self-managed-reduced.adoc lines 739-744,direct,duplicate Pipelines navigation; static to dynamic console plugin; OpenShift Console; known issue; SRVKP-10006
CI/CD Engineer,TROUBLESHOOT,Diagnose PipelineRun failures with clear errors on invalid apiVersion,PipelineRun execution failing without clear error messages,Identify that spec.tasks[].taskRef.apiVersion is invalid and correct it,Clear error message displayed; Invalid apiVersion identified; PipelineRun no longer fails silently,PipelineRun fails silently; No error message for invalid apiVersion; Difficult to diagnose issue,op-release-notes-1-21-self-managed-reduced.adoc lines 752-755,direct,PipelineRun failure; taskRef.apiVersion; invalid value; clear error; SRVKP-8514
DevOps Engineer,TROUBLESHOOT,Troubleshoot TaskRef reconciliation errors without PipelineRun failure,PipelineRun failing on temporary TaskRef resolution issues,"Understand that PipelineRuns now only fail on explicit validation errors, not retryable errors",PipelineRuns continue on retryable errors; Only explicit validation errors cause failure; Improved pipeline reliability,Transient errors causing pipeline failures; Unnecessary failures on temporary issues; Poor reliability for external task resolution,op-release-notes-1-21-self-managed-reduced.adoc lines 757-760,direct,TaskRef reconciliation; retryable errors; validation errors; PipelineRun reliability; SRVKP-9135
DevOps Engineer,TROUBLESHOOT,Debug timed-out TaskRuns with retained pods when keep-pod-on-cancel is enabled,TaskRuns timing out and need to debug pod state,Confirm that pods are retained for timed-out TaskRuns when feature flag is enabled,keep-pod-on-cancel flag enabled; Pods retained on TaskRun timeout; Can debug timed-out tasks,Pods deleted on timeout; Cannot debug timed-out tasks; Inconsistent pod retention behavior,op-release-notes-1-21-self-managed-reduced.adoc lines 767-770,direct,keep-pod-on-cancel; timed-out TaskRuns; pod retention; debugging; SRVKP-9135; SRVKP-9176
CI/CD Engineer,TROUBLESHOOT,Interpret StepAction status steps in correct chronological order,Reviewing StepAction execution timeline,View status steps in correct sequential order for accurate interpretation,Status steps display in correct order; Chronological flow is clear; Timeline is accurate,Status steps in wrong order; Difficult to interpret execution flow; Timeline inaccuracies,op-release-notes-1-21-self-managed-reduced.adoc lines 772-775,direct,StepAction status; sequential order; chronological flow; timeline; SRVKP-9135
DevOps Engineer,TROUBLESHOOT,Run TaskRuns successfully on arm64 clusters,TaskRuns failing on arm64 Kubernetes clusters,Ensure TaskRuns execute reliably on arm64 architecture after platform variant mismatch fix,TaskRuns succeed on arm64 clusters; Entrypoint logic handles platform variants; No architecture-specific failures,TaskRun failures on arm64; Platform variant mismatch; Architecture compatibility issues,op-release-notes-1-21-self-managed-reduced.adoc lines 777-780,direct,arm64 clusters; platform variant mismatch; entrypoint logic; TaskRun failures; SRVKP-9135
Platform Administrator,OPTIMIZE,Improve proxy webhook performance under high concurrency,Experiencing webhook timeouts under heavy workload,Ensure webhook uses optional config map volumes to prevent blocking on CA bundle checks,Webhook no longer performs synchronous API calls; Pod creation not blocked by config map checks; SSL_CERT_DIR always set; Improved performance under load,Webhook timeouts under high concurrency; Synchronous API calls during admission; etcd performance issues affecting webhooks,op-release-notes-1-21-self-managed-reduced.adoc lines 785-788,direct,proxy webhook performance; optional config map volumes; CA bundle; SSL_CERT_DIR; high concurrency; SRVKP-8377
Platform Administrator,TROUBLESHOOT,Prevent prioritySemaphore deadlocks and race conditions,Experiencing deadlocks or panics in pipeline execution,Ensure prioritySemaphore locking is corrected with proper synchronization,No deadlocks occur; No race conditions; No panics from unsynchronized data; Stable concurrent operation,Deadlocks in pipeline execution; Race conditions causing failures; Panics from concurrency issues,op-release-notes-1-21-self-managed-reduced.adoc lines 790-793,direct,prioritySemaphore; deadlocks; race conditions; panics; locking logic; SRVKP-8198
Platform Administrator,MIGRATE,Verify default catalog name is correct after upgrade from 1.19.x to 1.20.0,Upgrading from OpenShift Pipelines 1.19.x,"Ensure hub-catalog-name points to Artifact Hub catalog, not deprecated Tekton Hub catalog",hub-catalog-name set to correct value; No unexpected behavior resolving catalog tasks; Upgrade process complete,Incorrect catalog name after upgrade; Unexpected task resolution behavior; Deprecated catalog referenced,op-release-notes-1-21-self-managed-reduced.adoc lines 805-808,direct,hub-catalog-name; Pipelines as Code; upgrade; Artifact Hub; Tekton Hub deprecated; SRVKP-8930
Platform Administrator,TROUBLESHOOT,Ensure nodeSelector and tolerations apply to Tekton Results pods,Results pods not scheduled according to configured preferences,Verify nodeSelector and tolerations from TektonConfig propagate to Results pods,nodeSelector applied to Results pods; tolerations applied to Results pods; Pods scheduled according to configuration,Scheduling preferences not applied; Pods scheduled incorrectly; Configuration ignored,op-release-notes-1-21-self-managed-reduced.adoc lines 810-813,direct,nodeSelector; tolerations; Tekton Results pods; TektonConfig; scheduling; SRVKP-8922
Platform Administrator,TROUBLESHOOT,Prevent webhook validation issues in control-plane namespaces,Experiencing webhook certificate issues affecting system components,Ensure tekton-operator-proxy-webhook excludes kube-* and openshift-* namespaces,Webhook does not validate control-plane namespaces; No certificate issues in system namespaces; Better isolation between components,Webhook affecting unrelated system components; Certificate issues in control-plane namespaces; Component interference,op-release-notes-1-21-self-managed-reduced.adoc lines 815-818,direct,tekton-operator-proxy-webhook; control-plane namespaces; kube-*; openshift-*; webhook validation; SRVKP-8891
Platform Administrator,TROUBLESHOOT,Preserve custom hub catalog configuration during conversion,Custom hub catalog type lost after operator conversion,Verify catalog-{INDEX}-type field is preserved in config map,catalog-{INDEX}-type field preserved; Custom catalog types not lost; Configuration maintained after conversion,Custom catalog configuration lost; catalog type field removed; Need to reconfigure after conversion,op-release-notes-1-21-self-managed-reduced.adoc lines 820-823,direct,custom hub catalog; catalog-{INDEX}-type; config map; conversion; SRVKP-9472
DevOps Engineer,TROUBLESHOOT,Verify PipelineRun status reflects completed TaskRuns in OpenShift Console,PipelineRun showing as canceling even after TaskRuns complete,Confirm PipelineRun status accurately reflects completion state,PipelineRun status correct after TaskRun completion; No lingering canceling state; Console displays accurate status,PipelineRun stuck in canceling state; Console status inconsistency; Status does not reflect actual completion,op-release-notes-1-21-self-managed-reduced.adoc lines 827-830,direct,PipelineRun canceling status; OpenShift Console; TaskRun completion; status inconsistency; SRVKP-6960
CI/CD Engineer,USE,Save Buildah tasks in Pipeline builder UI without validation errors,Creating pipelines with Buildah tasks in OpenShift Console,Successfully save Buildah tasks with default BUILD_ARGS parameter,Buildah tasks save without validation error; BUILD_ARGS parameter accepted; Pipeline builder works correctly,Validation error prevents saving; Cannot use Buildah tasks; BUILD_ARGS parameter issue,op-release-notes-1-21-self-managed-reduced.adoc lines 832-835,direct,Buildah tasks; Pipeline builder UI; validation error; BUILD_ARGS parameter; SRVKP-8571
DevOps Engineer,USE,Sort PipelineRuns by actual duration in OpenShift Console,Viewing and analyzing PipelineRun performance,"See PipelineRuns sorted correctly by duration in seconds, not string sort",Duration sorting uses actual duration values; PipelineRuns ordered correctly by elapsed time; No misleading sort results,String sort causes wrong ordering; Durations not sorted correctly; Misleading performance analysis,op-release-notes-1-21-self-managed-reduced.adoc lines 837-840,direct,PipelineRun sorting; duration; string sort; elapsed time; SRVKP-6211
DevOps Engineer,USE,Sort TaskRuns by elapsed duration in OpenShift Console,Reviewing TaskRun performance and execution times,"View TaskRuns sorted by actual elapsed time, not completion time",TaskRuns sorted by duration correctly; Chronological order accurate; Duration calculation correct,Wrong chronological order; Completion time used instead of duration; Misleading task ordering,op-release-notes-1-21-self-managed-reduced.adoc lines 842-845,direct,TaskRun sorting; duration; completion time; elapsed time; SRVKP-8835
CI/CD Engineer,USE,Navigate to tasks with similar names using strict URL matching,Accessing tasks via URLs when multiple tasks have similar names,"Ensure URL navigation matches exact task names, avoiding partial matches",Task names matched with strict equality; No partial string matches; Correct task displayed from URL,Wrong task displayed for similar names; Partial match causes incorrect navigation; URL routing unreliable,op-release-notes-1-21-self-managed-reduced.adoc lines 847-850,direct,task name matching; strict equality; URL navigation; partial match; SRVKP-8976
DevOps Engineer,USE,View empty state instead of error when Results data unavailable,Results API or database pods restarting,See graceful empty state on Overview page instead of error message,Empty state displayed when data unavailable; No error message shown; Smooth user experience during pod restarts,Error message displayed on pod restart; Poor user experience; Confusing error when data temporarily unavailable,op-release-notes-1-21-self-managed-reduced.adoc lines 852-855,direct,Overview page; tekton-results-postgres; tekton-results-api; empty state; error message; SRVKP-8076
Developer,USE,See immediate YAML editor updates using useEffect hook,Editing YAML in OpenShift Console,View YAML changes immediately without component remount,Changes reflected immediately; useEffect hook applied; No wait for component remount,Changes not applied until remount; Delayed editor feedback; Poor editing experience,op-release-notes-1-21-self-managed-reduced.adoc lines 857-860,direct,YAML editor; useEffect hook; immediate updates; component remount; SRVKP-8205
