doc_id,book,doc,section,line_start,line_end,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence
secure-014,secure,secure-combined.adoc,Resolving the 'secret already exists' error,860,887,"When I encounter a secret already exists error while creating signing secrets, I want to delete the existing secret and recreate it, so I can resolve the conflict and proceed with key generation.",related,Cluster administrator,Troubleshoot,user_story,Generate and store cryptographic keys for signing,,,Minimize time to resolve secret conflict; Ensure clean secret state before regeneration,"secure-combined.adoc -> 'Resolving the secret already exists error', lines 860-887. Key quote: 'If the signing-secret secret is already populated, the command to create this secret might output the following error message: Error from server (AlreadyExists): secrets signing-secrets already exists. You can resolve this error by deleting the secret.'"
secure-015,secure,secure-combined.adoc,Authenticating to an OCI registry,897,965,"When I need to push signatures to an OCI registry, I want to configure service account credentials with registry authentication, so I can enable Tekton Chains to store signed artifacts in the registry.",core,Platform engineer,Configure,main_job,,Have OCI registry accessible; Have Docker config credentials,Create custom service account; Patch service account with imagePullSecrets,Minimize authentication failures when pushing signatures; Ensure credentials are securely stored; Reduce manual credential management effort; Enable automated signature storage,"secure-combined.adoc -> 'Authenticating to an OCI registry', lines 897-965. Key quote: 'Set up a service account with the necessary credentials so that {tekton-chains} can push signatures to an OCI registry. The {tekton-chains} controller uses the same service account that starts task runs. To configure authentication with an OCI registry, create the required credentials and associate them with this service account.'"
secure-016,secure,secure-combined.adoc,Authenticating to an OCI registry,897,965,"As a platform engineer, when I need to avoid pod timeouts caused by default service account, I want to create a custom service account with appropriate SCC, so I can ensure stable pipeline and task run execution.",core,Platform engineer,Configure,user_story,Configure service account credentials for OCI registry authentication,Have namespace created; Have dockerconfigjson file,Configure security context for pods,Eliminate pod timeout issues; Ensure service account has correct permissions; Minimize disruption from operator upgrades,"secure-combined.adoc -> 'Authenticating to an OCI registry', lines 938-964. Key quote: 'If you patch the default pipeline service account that {pipelines-title} assigns to all task runs, the {pipelines-title} Operator will override the service account. As a best practice, you can perform the following steps: Create a separate service account to assign to users task runs.'"
secure-017,secure,secure-combined.adoc,Creating and verifying task run signatures without any additional authentication,973,1082,"When I need to verify the complete signing workflow, I want to create a task run, retrieve its signature, and verify it with the public key, so I can ensure Tekton Chains is correctly signing artifacts.",core,Security engineer,Secure,main_job,,Have Tekton Chains configured; Have signing keys generated; Have cosign installed,Configure Tekton Chains storage backend; Extract task run signature; Verify signature with cosign,Minimize time to validate signing workflow; Ensure signatures are cryptographically valid; Reduce risk of signing misconfiguration; Enable confidence in supply chain security,"secure-combined.adoc -> 'Creating and verifying task run signatures without any additional authentication', lines 973-1082. Key quote: 'To verify signatures of task runs by using {tekton-chains} with any additional authentication, perform the following tasks: Generate an encrypted x509 or cosign key pair... Configure the {tekton-chains} backend storage... Create a task run, sign it, and store the signature... Retrieve the signature and payload... Verify the signature of the task run.'"
secure-018,secure,secure-combined.adoc,Creating and verifying task run signatures without any additional authentication,996,1013,"As a security engineer, when I need to store signatures as annotations on task runs, I want to disable OCI storage and set task run format to tekton, so I can retrieve signatures directly from TaskRun objects.",core,Security engineer,Configure,user_story,Verify the complete signing workflow,Have TektonConfig access,,Ensure signatures are accessible via Kubernetes API; Minimize external storage dependencies; Enable quick signature retrieval for testing,"secure-combined.adoc -> 'Creating and verifying task run signatures without any additional authentication', lines 996-1013. Key quote: 'In the {tekton-chains} configuration, disable the Open Container Initiative (OCI) storage, and set the task run storage and format to tekton... artifacts.oci.storage: """", artifacts.taskrun.format: tekton, artifacts.taskrun.storage: tekton'"
secure-019,secure,secure-combined.adoc,Using Tekton Chains to sign and verify image and provenance,1096,1237,"When I need to prove image integrity and provenance for compliance, I want to sign OCI images and their provenance attestations, so I can enable cryptographic verification of the entire build process.",core,Security engineer,Secure,main_job,,Have Tekton Chains configured; Have signing keys generated; Have OCI registry authentication configured,Configure Kaniko task for image building; Push signatures to OCI registry; Search Rekor transparency log,Ensure end-to-end build provenance is signed; Minimize risk of unsigned images in production; Enable tamper-proof audit trail; Reduce compliance audit effort,"secure-combined.adoc -> 'Using Tekton Chains to sign and verify image and provenance', lines 1096-1237. Key quote: 'Cluster administrators can use {tekton-chains} to sign and verify images and provenances, by performing the following tasks: Generate an encrypted x509 or cosign key pair... Set up authentication for the OCI registry to store images, image signatures, and signed image attestations... Configure {tekton-chains} to generate and sign provenance... Create an image with Kaniko in a task run... Verify the signed image and the signed provenance.'"
secure-020,secure,secure-combined.adoc,Using Tekton Chains to sign and verify image and provenance,1137,1151,"As a security engineer, when I need to enable binary transparency for supply chain security, I want to configure Tekton Chains to upload attestations to Rekor, so I can enable public verification of build provenance.",core,Security engineer,Configure,user_story,Sign OCI images and provenance attestations for compliance,Have Tekton Chains configured; Have Rekor access,Search Rekor for image provenance,Ensure provenance is publicly verifiable; Enable transparency log integration; Minimize risk of undetected tampering,"secure-combined.adoc -> 'Using Tekton Chains to sign and verify image and provenance', lines 1137-1151. Key quote: 'Configure {tekton-chains} by setting the artifacts.taskrun.format, artifacts.taskrun.storage, and transparency.enabled parameters... $ oc patch configmap chains-config -n openshift-pipelines -p={""data"":{""transparency.enabled"": ""true""}}'"
secure-021,secure,secure-combined.adoc,Using Tekton Chains to sign and verify image and provenance,1209,1237,"As a security engineer, when I need to verify that provenance is stored in Rekor, I want to search the transparency log by image digest and retrieve attestation records, so I can prove build provenance is publicly auditable.",core,Security engineer,Secure,user_story,Sign OCI images and provenance attestations for compliance,Have image digest; Have rekor-cli installed,Verify image signatures with cosign,Minimize time to find provenance records; Ensure attestation is discoverable in transparency log; Enable third-party verification of builds,"secure-combined.adoc -> 'Using Tekton Chains to sign and verify image and provenance', lines 1209-1237. Key quote: 'Find the provenance for the image in Rekor... Get the digest of the $REGISTRY/kaniko-chains image... Search Rekor to find all entries that match the sha256 digest of the image: $ rekor-cli search --sha <image_digest>... Check the attestation: $ rekor-cli get --uuid <uuid> --format json'"
secure-022,secure,secure-combined.adoc,Setting up OpenShift Pipelines to view Software Supply Chain Security elements,1305,1326,"When I need to visualize supply chain security artifacts in the OpenShift web console, I want to configure pipelines to display signed badges, vulnerabilities, and SBOMs, so I can quickly assess security posture without CLI tools.",core,DevOps engineer,Observe,main_job,,Have Tekton Chains configured; Have vulnerability scanning task; Have SBOM generation task,Configure vulnerability scanning; Configure SBOM generation; View signed badges in UI,Minimize time to assess security status; Enable non-CLI users to access security data; Reduce friction in security review workflows; Ensure security artifacts are visible in developer workflows,"secure-combined.adoc -> 'Setting up OpenShift Pipelines to view Software Supply Chain Security elements', lines 1305-1326. Key quote: 'Use the Developer or Administrator perspective to create or change a pipeline and view key Software Supply Chain Security elements within a project. Set up {pipelines-shortname} to view: Project vulnerabilities... Software Bill of Materials (SBOMs)... PipelineRuns that meet {tekton-chains} requirement displays signed badges next to their names.'"
secure-023,secure,secure-combined.adoc,Setting up OpenShift Pipelines to view project vulnerabilities,1334,1477,"When I need to prioritize security remediation, I want to view vulnerability counts categorized by severity in the PipelineRun UI, so I can quickly identify critical security issues requiring immediate attention.",core,Security engineer,Observe,user_story,Visualize supply chain security artifacts in OpenShift web console,Have vulnerability scan task configured; Have pipeline configured to emit SCAN_OUTPUT result,Configure vulnerability scan task output format,Minimize time to identify critical vulnerabilities; Enable visual prioritization by severity; Reduce manual parsing of scan results; Ensure vulnerability data is accessible to all stakeholders,"secure-combined.adoc -> 'Setting up OpenShift Pipelines to view project vulnerabilities', lines 1334-1477. Key quote: 'The PipelineRun details page provides a visual representation of identified vulnerabilities, categorized by the severity (critical, high, medium, and low). This streamlined view facilitates prioritization and remediation efforts... You can also review the vulnerabilities in the Vulnerabilities column in the pipeline run list view page.'"
secure-024,secure,secure-combined.adoc,Setting up OpenShift Pipelines to view project vulnerabilities,1365,1450,"As a DevOps engineer, when I integrate vulnerability scanning into my pipeline, I want to configure the scan task to output results in JSON format with severity counts, so I can display vulnerability summaries in the OpenShift UI.",core,DevOps engineer,Configure,user_story,View vulnerability counts by severity in PipelineRun UI,"Have vulnerability scan tool (e.g., Roxctl, Trivy); Have jq tool available in task image",Configure pipeline to reference SCAN_OUTPUT result,Ensure scan results are UI-compatible; Minimize custom parsing logic; Enable consistent vulnerability reporting across pipelines,"secure-combined.adoc -> 'Setting up OpenShift Pipelines to view project vulnerabilities', lines 1365-1450. Key quote: 'Update your existing vulnerability scan task to ensure that it stores the output in the .json file and then extracts the vulnerability summary in the following format: jq -rce {vulnerabilities:{ critical: (.result.summary.CRITICAL), high: (.result.summary.IMPORTANT), medium: (.result.summary.MODERATE), low: (.result.summary.LOW) }}'"
secure-025,secure,secure-combined.adoc,Setting up OpenShift Pipelines to download or view SBOMs,1486,1665,"When I need to understand software composition for compliance and risk assessment, I want to download or view Software Bills of Materials (SBOMs) for pipeline runs, so I can verify dependency safety and licensing.",core,Security engineer,Observe,user_story,Visualize supply chain security artifacts in OpenShift web console,Have SBOM generation task configured; Have pipeline configured with IMAGE_URL result,View SBOM in web UI; Download SBOM via cosign CLI; Search SBOM for vulnerable libraries,Minimize time to access SBOM data; Enable transparency into software composition; Reduce manual SBOM generation effort; Ensure compliance with SBOM requirements,"secure-combined.adoc -> 'Setting up OpenShift Pipelines to download or view SBOMs', lines 1486-1665. Key quote: 'The PipelineRun details page provides an option to download or view Software Bill of Materials (SBOMs), enhancing transparency and control within your supply chain. SBOMs lists all the software libraries that a component uses... You can use a software bill of materials (SBOM) to better understand the composition of your software, identify vulnerabilities, and assess the potential impact of any security issues.'"
secure-026,secure,secure-combined.adoc,Setting up OpenShift Pipelines to download or view SBOMs,1507,1565,"As a DevOps engineer, when I configure SBOM generation in my pipeline, I want to create a task that outputs SBOM data with external-link type, so I can enable one-click SBOM viewing in the OpenShift UI.",core,DevOps engineer,Configure,user_story,Download or view SBOMs for pipeline runs,"Have SBOM generation tool (e.g., Syft); Have pipeline configured",Configure pipeline IMAGE_URL result,Enable browser-based SBOM viewing; Minimize SBOM access friction; Ensure SBOM is linked to pipeline run,"secure-combined.adoc -> 'Setting up OpenShift Pipelines to download or view SBOMs', lines 1507-1565. Key quote: 'Add a task in the following format to view or download the SBOM information... task.results.key: LINK_TO_SBOM, task.results.type: external-link... This configuration enables viewing or downloading SBOM from the PipelineRun details page.'"
secure-027,secure,secure-combined.adoc,Viewing an SBOM in the web UI,1569,1586,"As a security engineer, when I need to quickly check for known vulnerabilities in dependencies, I want to view SBOMs directly in the browser and search for vulnerable libraries, so I can assess risk without downloading files.",core,Security engineer,Observe,user_story,Download or view SBOMs for pipeline runs,Have SBOM configured in pipeline; Have pipeline run completed,,Minimize time to search SBOM for vulnerabilities; Enable in-browser vulnerability assessment; Reduce need for CLI tools,"secure-combined.adoc -> 'Viewing an SBOM in the web UI', lines 1569-1586. Key quote: 'Navigate to the Activity -> PipelineRuns tab... select View SBOM. You can use your web browser to immediately search the SBOM for terms that indicate vulnerabilities in your software supply chain. For example, try searching for log4j.'"
secure-028,secure,secure-combined.adoc,Downloading an SBOM in the CLI,1588,1616,"As a platform engineer, when I need to integrate SBOM data into automated compliance workflows, I want to download SBOMs via cosign CLI, so I can process SBOM data programmatically.",core,Platform engineer,Observe,user_story,Download or view SBOMs for pipeline runs,Have cosign CLI installed; Have SBOM stored in OCI registry,,Enable automated SBOM processing; Minimize manual SBOM retrieval effort; Ensure SBOM data is machine-readable,"secure-combined.adoc -> 'Downloading an SBOM in the CLI', lines 1588-1616. Key quote: 'Open terminal, log in to Developer or Administrator perspective, and then switch to the relevant project. From the OpenShift web console, copy the download sbom command and run it on your terminal: $ cosign download sbom quay.io/<workspace>/user-workload@sha256'"
secure-029,secure,secure-combined.adoc,Reading the SBOM,1618,1665,"When I review an SBOM for compliance and risk assessment, I want to see library author, name, version, and licenses in a structured format, so I can verify dependencies are safely-sourced, updated, and compliant.",core,Security engineer,Analyze,user_story,Download or view SBOMs for pipeline runs,Have SBOM downloaded or viewed,,Minimize time to extract key dependency information; Enable verification of license compliance; Reduce risk of using outdated or vulnerable libraries; Ensure supply chain transparency,"secure-combined.adoc -> 'Reading the SBOM', lines 1618-1665. Key quote: 'In the SBOM... you can see four characteristics of each library that a project uses: Its author or publisher, Its name, Its version, Its licenses. This information helps you verify that individual libraries are safely-sourced, updated, and compliant.'"
secure-030,secure,secure-combined.adoc,Configuring the security context for pods,1731,1766,"When I need to control security permissions for pipeline pods, I want to configure security context constraints (SCC) for task runs and pipeline runs, so I can enforce least-privilege principles while enabling required capabilities.",core,Cluster administrator,Secure,main_job,,Have OpenShift Pipelines installed,Configure default SCC for all pods; Configure namespace-specific SCC; Create custom SCC for specific runs,"Minimize security risks from excessive permissions; Enable required capabilities (e.g., SETFCAP for Buildah); Reduce likelihood of privilege escalation; Ensure compliance with security policies","secure-combined.adoc -> 'Configuring the security context for pods', lines 1731-1766. Key quote: 'The default service account for pods that {pipelines-shortname} starts is pipeline. The security context constraint (SCC) associated with the pipeline service account is pipelines-scc... You can configure the security context for pods that {pipelines-shortname} creates for pipeline runs and task runs. You can make the following changes: Change the default and maximum SCC for all pods, Change the default SCC for pods created for pipeline runs and task runs in a particular namespace, Configure a particular pipeline run or task run to use a custom SCC and service account.'"
secure-031,secure,secure-combined.adoc,Configuring default and maximum SCC for pods,1774,1807,"As a cluster administrator, when I need to standardize security policies across all pipelines, I want to configure default and maximum SCC via TektonConfig, so I can enforce organization-wide security baselines.",core,Cluster administrator,Configure,user_story,Configure security context constraints for pipeline pods,Have cluster-admin privileges; Have TektonConfig access,,Ensure consistent security policies across namespaces; Minimize risk of overly permissive SCCs; Enable centralized security control; Reduce per-namespace configuration effort,"secure-combined.adoc -> 'Configuring default and maximum SCC for pods', lines 1774-1807. Key quote: 'You can configure the default security context constraint (SCC) for all pods that {pipelines-shortname} creates for task runs and pipeline runs. You can also configure the maximum SCC, which is the least restrictive SCC that you can configure for these pods in any namespace... Set the default and maximum SCC in the spec: spec.platforms.openshift.scc.default, spec.platforms.openshift.scc.maxAllowed'"
secure-032,secure,secure-combined.adoc,Configuring the SCC for pods in a namespace,1820,1842,"As a cluster administrator, when I need namespace-specific security policies, I want to annotate namespaces with operator.tekton.dev/scc, so I can override default SCC for pipelines in specific environments.",core,Cluster administrator,Configure,user_story,Configure security context constraints for pipeline pods,Have namespace created; Know required SCC (must not exceed maxAllowed),,Enable namespace-level security customization; Ensure SCC does not exceed maximum allowed; Minimize need for per-pipeline configuration,"secure-combined.adoc -> 'Configuring the SCC for pods in a namespace', lines 1820-1842. Key quote: 'Configure the security context constraint (SCC) for all pods that {pipelines-shortname} creates for pipeline runs and task runs in a particular namespace. The SCC must not be less restrictive than the maximum SCC that you configured by using the TektonConfig CR... Set the operator.tekton.dev/scc annotation for the namespace to the name of the SCC.'"
secure-033,secure,secure-combined.adoc,Running pipeline run and task run with custom SCC and service account,1851,1975,"When I encounter pod timeouts due to default SCC fsGroup settings, I want to create a custom SCC with fsGroup.type set to RunAsAny, so I can avoid timeout issues while maintaining security.",core,Platform engineer,Troubleshoot,user_story,Configure security context constraints for pipeline pods,Have cluster-admin privileges; Understand pod timeout issue (BZ#1995779),Create custom service account; Associate SCC with service account,Eliminate pod timeout errors; Ensure SCC is appropriate for workload; Minimize upgrade disruption; Enable stable pipeline execution,"secure-combined.adoc -> 'Running pipeline run and task run with custom SCC and service account', lines 1851-1975. Key quote: 'When using the pipelines-scc SCC associated with the default pipelines service account, the pipeline run and task run pods might face timeouts. This happens because the default pipelines-scc SCC sets the fsGroup.type parameter to MustRunAs... To avoid pod timeouts, you can create a custom SCC with the fsGroup.type parameter set to RunAsAny, and associate it with a custom service account.'"
secure-authenticating-webhooks,secure,,Securing webhooks with event listeners,2044,2063,"When I need to protect webhook endpoints from unauthorized access, I want to enable HTTPS for event listeners, so I can ensure secure communication within and outside the cluster",core,Cluster admin,Secure,main_job,,Create namespace; Install OpenShift Pipelines Operator,Configure Trigger resources; Create TriggerBinding; Create TriggerTemplate,Minimize risk of webhook data interception; Ensure encrypted connections to event listeners; Enable both internal and external secure access,"Section 'Securing webhooks with event listeners', lines 2044-2063. Abstract states: 'you enable HTTPS for the Eventlistener resource by adding the operator.tekton.dev/enable-annotation=enabled label to the namespace'"
secure-providing-secure-connection,secure,,Providing secure connection with OpenShift routes,2071,2131,"When I need to expose secured webhooks externally, I want to create routes with re-encrypted TLS termination, so I can maintain end-to-end encryption from client to event listener",core,Cluster admin,Secure,user_story,"When I need to protect webhook endpoints from unauthorized access, I want to enable HTTPS for event listeners, so I can ensure secure communication within and outside the cluster","Create event listener; Have TLS certificates (tls.crt, tls.key, ca.crt)",Configure service account for event listener; Set security context for event listener,Ensure end-to-end encryption for webhook traffic; Minimize certificate management complexity; Enable secure external access to event listeners,"Section 'Providing secure connection with OpenShift routes', lines 2071-2131. Procedure shows creating route with reencrypt termination using cert, key, and CA cert"
secure-eventlistener-scc,secure,,Configuring security context for event listeners,2142,2183,"When I need to meet security requirements for event listeners, I want to configure custom security contexts directly in EventListener CRs, so I can ensure containers run with restricted privileges and comply with security context constraints",core,Security engineer,Secure,user_story,"When I need to protect webhook endpoints from unauthorized access, I want to enable HTTPS for event listeners, so I can ensure secure communication within and outside the cluster",Understand security context constraints; Know required resource limits,Create service account with appropriate permissions; Configure RBAC for event listener,Ensure event listeners run as non-root users; Minimize attack surface through read-only filesystems; Comply with OpenShift security context constraints,"Section 'Configuring security context for event listeners', lines 2142-2183. Example shows runAsNonRoot: true and readOnlyRootFilesystem: true settings"
secure-sample-eventlistener-https,secure,,Creating a sample EventListener resource using a secure HTTPS connection,2192,2242,"When I need a working example of secure webhooks, I want to create an EventListener with HTTPS enabled using the pipelines-tutorial, so I can understand the complete configuration flow",core,DevOps engineer,Secure,user_story,"When I need to protect webhook endpoints from unauthorized access, I want to enable HTTPS for event listeners, so I can ensure secure communication within and outside the cluster",Have access to openshift-pipelines namespace; Understand TriggerBinding and TriggerTemplate concepts,Create TriggerBinding resource; Create TriggerTemplate resource; Create Trigger resource,Minimize time to get working secure webhook example; Reduce likelihood of misconfiguration; Understand label-based HTTPS enablement,"Section 'Creating a sample EventListener resource using a secure HTTPS connection', lines 2192-2242. Shows enabling HTTPS via label: operator.tekton.dev/enable-annotation=enabled"
