desired_outcomes,doc,evidence,granularity,job_map_stage,job_statement,job_type,notes,parent_job,persona,prerequisites,related_jobs,section
Ensure only authorized users can trigger pipeline runs; Minimize risk of malicious code execution in pipelines; Reduce unnecessary pipeline runs from untrusted sources,create-combined.adoc,"create-combined.adoc -> Validating pull requests using GitHub Interceptors, lines 1317-1410",user_story,Secure,"When accepting pull requests from external contributors, I want to validate PRs based on repository owners before triggering pipeline runs, so I can prevent unauthorized or untrusted code from consuming pipeline resources.",related,Covers GitHub Interceptor validation against OWNERS file,Create a customized CI/CD solution using pipelines,Platform engineer,Have OWNERS file configured in repository; Have GitHub Interceptor available; Have webhook secrets configured,Configure GitHub owners check type; Manage repository owner approvals; Set up approval comment triggers,Validating pull requests using GitHub Interceptors
Minimize time to create a working pipeline; Reduce complexity of pipeline configuration; Ensure pipelines integrate with application lifecycle,create-combined.adoc,"create-combined.adoc -> Working with OpenShift Pipelines in the Developer perspective, lines 1503-1512",main_job,Configure,"When I need to create CI/CD pipelines for my application, I want to access pipeline creation options from the Developer perspective, so I can build automated delivery workflows integrated with my development process.",core,Main job covering pipeline creation in Developer perspective. Two primary approaches: Pipeline builder and From Git option.,,Application developer,,Deploy applications using pipelines; Monitor pipeline execution,Working with OpenShift Pipelines in the Developer perspective
Minimize time to configure pipeline tasks; Reduce errors from manual YAML editing; Ensure access to reusable pipeline tasks from the cluster,create-combined.adoc,"create-combined.adoc -> Constructing pipelines using the Pipeline builder, lines 1522-1606",user_story,Configure,"As an application developer, when I need to create a customized pipeline, I want to use the Pipeline builder with visual configuration, so I can construct pipelines using reusable tasks without writing YAML manually.",core,UI-based approach using Pipeline builder. Supports both visual builder and YAML view. Requires Tekton Hub for full task catalog access.,Create CI/CD pipelines for my application,Application developer,,Search and add tasks from Tekton Hub; Configure pipeline resources and parameters,Constructing pipelines using the Pipeline builder
Ensure developers have access to curated task catalog; Minimize dependency on public Tekton Hub; Reduce likelihood of using untrusted tasks,create-combined.adoc,"create-combined.adoc -> Constructing pipelines using the Pipeline builder, lines 1535-1539",user_story,Configure,"As a cluster administrator, when I want to enable developers to access curated tasks, I want to install and deploy a local Tekton Hub instance, so developers can search, install, and upgrade tasks directly from the console.",related,"Related job for administrators to enable developer self-service. Without local Tekton Hub, developers only access namespace tasks and public hub tasks.",Create CI/CD pipelines for my application,Cluster administrator,Install OpenShift Pipelines Operator,Deploy Tekton Hub instance; Link Tekton Hub to OpenShift cluster,Constructing pipelines using the Pipeline builder
Minimize time between code import and automated builds; Ensure pipelines are automatically linked to application; Reduce steps required to enable CI/CD,create-combined.adoc,"create-combined.adoc -> Creating OpenShift Pipelines along with applications, lines 1615-1627",user_story,Configure,"As an application developer, when I am deploying a new application from Git, I want to create pipelines using templates during application import, so I can establish CI/CD automation from the start without separate pipeline creation steps.",core,From Git approach enables pipeline creation during application import. Default webhooks are added automatically. Tekton Hub integration shows available tasks.,Create CI/CD pipelines for my application,Application developer,,Import codebase from Git; View pipelines in Topology view,Creating OpenShift Pipelines along with applications
Ensure pipelines trigger automatically on Git events; Minimize manual pipeline execution; Reduce time to establish event-driven CI/CD,create-combined.adoc,"create-combined.adoc -> Adding a GitHub repository containing pipelines, lines 1637-1694",user_story,Configure,"As an application developer, when I have pipelines defined in my GitHub repository, I want to add the repository to the cluster with webhook configuration, so pipelines run automatically on Git events like push and pull requests.",core,Supports both public and private GitHub repositories. Requires GitHub App or webhook setup with personal access token. Prerequisite: admin must configure GitHub apps first.,Create CI/CD pipelines for my application,Application developer,Cluster administrator has configured GitHub applications; Have GitHub repository with .tekton directory,Configure Pipelines as Code; Set up GitHub webhooks,Adding a GitHub repository containing pipelines
Minimize time to identify failed tasks; Reduce effort to understand pipeline structure; Ensure quick access to logs and error details,create-combined.adoc,"create-combined.adoc -> Interacting with pipelines using the Developer perspective, lines 1704-1766",main_job,Monitor,"When I have created pipelines, I want to view pipeline details and execution status in a visual interface, so I can understand pipeline structure, monitor runs, and troubleshoot failures efficiently.",core,"Main job covering pipeline monitoring and interaction. Developer perspective provides visual representation of serial tasks, parallel tasks, finally tasks, and when expressions.",,Application developer,Create a pipeline,Start pipeline runs; Debug failed pipeline runs; View pipeline metrics,Interacting with pipelines using the Developer perspective
Minimize time to execute pipeline run; Reduce errors from missing resources or credentials; Ensure pipeline tasks execute successfully,create-combined.adoc,"create-combined.adoc -> Starting pipelines from Pipelines view, lines 1775-1839",main_job,Execute,"When I have created a pipeline, I want to start it with configured resources and credentials, so the included tasks execute in the defined sequence to build and deploy my application.",core,"Main job covering pipeline execution. Can start from Pipelines view, Pipeline Details page, or Topology view. Supports adding secrets for private Git servers and image registries.",,Application developer,Create a pipeline; Define pipeline resources,Configure Git resources; Configure image resources; Add authentication secrets,Starting pipelines from Pipelines view
Minimize time to update pipeline configuration; Reduce risk of breaking working pipelines; Ensure changes are applied without pipeline recreation,create-combined.adoc,"create-combined.adoc -> Editing pipelines, lines 1897-1912",main_job,Modify,"When I need to modify an existing pipeline, I want to edit pipeline configuration through the web console, so I can add tasks, change parameters, or update resources without recreating the entire pipeline.",core,"Main job covering pipeline modification. Uses Pipeline builder page for visual editing. Can add/remove tasks, modify parameters, and update resources.",,Application developer,Have an existing pipeline,Add pipeline tasks; Configure task parameters; Remove pipeline tasks,Editing pipelines
Minimize developer effort to create common pipelines; Ensure consistent pipeline patterns across teams; Reduce duplication of pipeline definitions,create-combined.adoc,"create-combined.adoc -> Creating pipeline templates in the Administrator perspective, lines 1945-1981",main_job,Configure,"As a cluster administrator, when I want to provide reusable pipeline patterns, I want to create pipeline templates in the openshift namespace, so developers can reuse standardized pipelines across projects.",core,Administrator-specific job for creating reusable templates. Templates must be created in openshift namespace with runtime and type labels.,,Cluster administrator,Have cluster administrator permissions; Install OpenShift Pipelines Operator,Define runtime labels for templates; Define pipeline type labels,Creating pipeline templates in the Administrator perspective
Minimize time to identify performance trends; Ensure visibility into pipeline success rates; Reduce effort to generate pipeline reports,create-combined.adoc,"create-combined.adoc -> Pipeline execution statistics in the web console, lines 1990-2002",main_job,Analyze,"When I need to analyze pipeline performance across my organization, I want to view consolidated execution statistics, so I can identify trends, optimize workflows, and report on CI/CD effectiveness.",core,Requires Tekton Results installation and console plugin enablement. Provides statistics for all pipelines together and individual pipelines.,,Platform administrator,Install Tekton Results; Enable OpenShift Pipelines console plugin,Monitor pipeline success ratios; Track pipeline run durations; View pipeline run trends,Pipeline execution statistics in the web console
Minimize time to enable approval capability; Ensure approval controller is ready before pipeline execution; Reduce likelihood of deploying without required authorization,create-combined.adoc,"create-combined.adoc -> Enabling the manual approval gate controller, lines 5787-5834",user_story,Configure,"When I need to implement approval gates in my CI/CD pipelines, I want to enable the manual approval gate controller, so I can ensure critical deployments require human authorization before proceeding.",core,Technology Preview feature. This is a prerequisite configuration step before approval tasks can be used in pipelines.,Control pipeline execution with manual approval gates,Platform administrator,Install OpenShift Pipelines Operator; Have administrator permissions for openshift-pipelines namespace; Have cluster access via oc CLI,Specify approval tasks in pipelines; Configure pipeline approvers,Enabling the manual approval gate controller
Minimize configuration errors when defining approval gates; Ensure correct number of approvals required; Reduce likelihood of unauthorized deployments; Ensure approval timeout prevents indefinite pipeline blocking,create-combined.adoc,"create-combined.adoc -> Specifying a manual approval task, lines 5842-6076",user_story,Configure,"When I need to control when pipelines proceed to critical stages, I want to configure approval tasks with specific approvers and thresholds, so I can ensure the right stakeholders authorize production deployments.",core,"Supports multiple approval patterns: multi-user approval (requires N approvals from individual users), group-based approval (requires approvals from group members), and mixed user/group approval. Default timeout is 1 hour.",Control pipeline execution with manual approval gates,DevOps engineer,Enable the manual approval gate controller; Have a pipeline YAML specification; Create groups and add required users for group approval,Define deployment pipelines; Configure build and test tasks; Set up production environments,Specifying a manual approval task
Minimize time to locate pending approvals; Reduce likelihood of missing approval notifications; Ensure approval decisions are recorded with reason; Minimize errors when approving or rejecting,create-combined.adoc,"create-combined.adoc -> Approving a manual approval task by using the web console, lines 6106-6131",user_story,Operate,"When a pipeline reaches an approval gate that lists me as an approver, I want to approve or reject the task via the web console, so I can authorize or block critical deployments without using CLI tools.",core,"Web console provides notifications when approval is required. Multiple access points: notification link, Pipelines Approvals tab (Administrator and Developer perspectives), PipelineRun details window.",Authorize or reject pipeline execution at approval gates,Pipeline approver,Enable OpenShift Pipelines console plugin; Be listed as an approver in the approval task; Have a pipeline run waiting at an approval gate,Monitor pipeline execution; Review deployment changes; View pipeline run details,Approving a manual approval task by using the web console
Minimize time to view pending approvals; Reduce likelihood of approving wrong task; Ensure approval decisions include optional reason message; Minimize errors in CLI command syntax,create-combined.adoc,"create-combined.adoc -> Approving a manual approval task by using the command line, lines 6145-6209",user_story,Operate,"When a pipeline reaches an approval gate that lists me as an approver, I want to approve or reject the task via the opc CLI, so I can authorize or block critical deployments from my terminal workflow.",core,"opc CLI is available in same package as tkn CLI. Supports list, describe, approve, and reject operations. Optional -m parameter for adding approval/rejection message.",Authorize or reject pipeline execution at approval gates,Pipeline approver,Download and install opc CLI utility; Be listed as an approver in the approval task; Have cluster access via oc CLI; Have a pipeline run waiting at an approval gate,Monitor pipeline execution via CLI; View pipeline run status; Review deployment changes,Approving a manual approval task by using the command line
Minimize confusion about group approval behavior; Ensure approval policies match organizational requirements; Reduce likelihood of misconfiguring mixed user/group approvals; Understand how individual group member approvals are tracked,create-combined.adoc,"create-combined.adoc -> Behavior of ApprovalTask with groups and users, lines 6218-6286",user_story,Configure,"When I configure approval tasks with groups and users, I want to understand how the controller tracks individual and group-level approvals, so I can design approval policies that require sign-off from specific roles and teams.",core,Controller automatically tracks individual approvals from group members and updates group approval state. Supports complex policies combining individual users and groups.,Control pipeline execution with manual approval gates,DevOps engineer,Enable the manual approval gate controller; Understand approval task configuration; Create required groups with members,Specify approval tasks in pipelines; Design deployment governance policies; Configure role-based access control,Behavior of ApprovalTask with groups and users
Minimize time required to configure entitlement access; Reduce likelihood of build failures due to missing RHEL packages; Ensure entitlements are securely managed across pipeline namespaces; Avoid manual secret management overhead,create-combined.adoc,"create-combined.adoc -> Using Red Hat entitlements in pipelines (abstract and overview), lines 6358-6368",main_job,Configure,"When building container images in pipelines that require RHEL packages, I want to use Red Hat entitlements, so I can access RHEL repositories during the build process.",core,"This main job has two distinct user stories for different implementation approaches: manual secret copying (simpler, for few namespaces) vs CSI driver (automated, for many namespaces).",,Pipeline developer,Enable the Insights Operator feature on the OpenShift cluster; Configure importing of Red Hat entitlements into the Insights Operator from Simple Content Access (SCA); Log in to the OpenShift cluster using the oc CLI,Build container images using Buildah task; Configure pipeline workspaces; Manage secrets across namespaces,Using Red Hat entitlements in pipelines
Minimize complexity of entitlement setup for simple use cases; Reduce dependencies on additional operators; Ensure entitlement secret is correctly formatted in target namespace; Complete entitlement setup in under 5 minutes for small deployments,create-combined.adoc,"create-combined.adoc -> Using Red Hat entitlements by manually copying the etc-pki-entitlement secret, lines 6412-6493",user_story,Configure,"When I have a limited number of pipeline namespaces and need RHEL entitlements for builds, I want to manually copy the etc-pki-entitlement secret to each namespace, so I can provide entitlements without additional operator configuration.",core,Recommended when there are a limited number of pipeline namespaces. Requires jq for JSON manipulation.,Use Red Hat entitlements in pipelines,Pipeline developer,Install the jq package on your system; Enable the Insights Operator feature; Configure importing of Red Hat entitlements into the Insights Operator; Verify that the etc-pki-entitlement secret exists in the openshift-config-managed namespace,Configure Buildah task to use rhel-entitlement workspace; Define workspaces in pipeline runs; Manage pipeline secrets,Using Red Hat entitlements by manually copying the etc-pki-entitlement secret
Minimize manual secret management overhead across multiple namespaces; Reduce likelihood of entitlement configuration drift between namespaces; Ensure automatic entitlement availability for new pipeline namespaces; Centralize entitlement secret management,create-combined.adoc,"create-combined.adoc -> Using Red Hat entitlements by sharing the secret using the Shared Resources CSI driver operator, lines 6501-6628",user_story,Configure,"When I need RHEL entitlements across many pipeline namespaces, I want to automatically share the etc-pki-entitlement secret using the Shared Resources CSI Driver, so I can avoid manual secret copying and ensure consistent entitlement access.",core,Requires cluster admin permissions. Recommended when using the Shared Resources CSI Driver. Creates SharedSecret CR with RBAC.,Use Red Hat entitlements in pipelines,Platform engineer,Log in to the OpenShift cluster as a user with cluster administrator permissions; Enable the Shared Resources CSI Driver operator on the cluster; Enable the Insights Operator feature; Configure importing of Red Hat entitlements into the Insights Operator; Verify that the etc-pki-entitlement secret exists in the openshift-config-managed namespace,Configure RBAC for shared resources; Manage service account permissions for pipelines; Configure Buildah task to use rhel-entitlement workspace,Using Red Hat entitlements by sharing the secret using the Shared Resources CSI driver operator
Minimize time spent recreating common pipeline tasks; Reduce likelihood of errors from copy-paste mistakes; Ensure access to latest versions of reusable components; Increase pipeline maintainability through centralized definitions,create-combined.adoc,"create-combined.adoc -> Specifying remote pipelines, tasks, and step actions using resolvers, lines 2176-2181: 'Pipelines and tasks are reusable blocks for your CI/CD processes. You can reuse pipelines or tasks that you developed before, or that were developed by others, without having to copy and paste their definitions.'",main_job,Develop,"When building CI/CD pipelines, I want to reuse existing pipeline and task definitions from various sources, so I can avoid duplicating code and leverage community-tested solutions.",core,Main job covering all resolver types. This is the overarching goal - reusing existing pipeline/task definitions.,,Pipeline developer,,Create pipeline runs; Create task runs; Define custom tasks,"Specifying remote pipelines, tasks, and step actions using resolvers"
Minimize time to find suitable community tasks; Ensure access to well-maintained catalog resources; Reduce storage overhead from duplicating task definitions,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action from a Tekton catalog, lines 2230-2232: 'You can use the hub resolver to specify a remote pipeline, task, or StepAction definition from a public Tekton catalog of Artifact Hub or from an instance of Tekton Hub.'",user_story,Reference,"When I need community-maintained tasks or pipelines, I want to reference them from public catalogs like Artifact Hub or Tekton Hub, so I can leverage tested solutions without maintaining local copies.",core,User story for Hub resolver. Focuses on public catalog access.,Reuse existing pipeline and task definitions from various sources,Pipeline developer,,Configure hub resolver settings,"Specifying a remote pipeline, task, or step action from a Tekton catalog"
Ensure team uses approved catalog sources; Minimize configuration needed in individual pipeline definitions; Reduce likelihood of pulling tasks from unauthorized sources,create-combined.adoc,"create-combined.adoc -> Configuring the hub resolver, lines 2254-2255: 'You can change the default hub for pulling a resource, and the default catalog settings, by configuring the hub resolver.'",user_story,Configure,"When setting up my pipeline environment, I want to configure which hub catalog to use as the default source, so I can control where my team pulls reusable tasks from.",core,Configuration task for platform engineers managing the hub resolver defaults.,Reuse existing pipeline and task definitions from various sources,Platform engineer,Have cluster-admin or equivalent permissions to edit TektonConfig,Configure custom Tekton Hub instance; Configure Artifact Hub instance,Configuring the hub resolver
Minimize YAML configuration needed to reference catalog resources; Ensure version pinning for reproducible builds; Reduce risk of breaking changes from catalog updates,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action using the hub resolver, lines 2296-2299: 'Specify a remote pipeline, task, or step action from Artifact Hub or Tekton Hub by using the hub resolver. When creating a pipeline run, you can specify a remote pipeline from Artifact Hub or Tekton Hub.'",user_story,Develop,"When creating a pipeline run or task, I want to reference a specific task or pipeline from a catalog by name and version, so I can use proven community solutions without local duplication.",core,Procedural user story showing how to use hub resolver in practice with specific parameters.,Reuse existing pipeline and task definitions from various sources,Pipeline developer,"Know the catalog name, resource name, and version; Hub resolver must be configured",Specify pipeline parameters; Specify task parameters,"Specifying a remote pipeline, task, or step action using the hub resolver"
Minimize infrastructure needed for task distribution; Ensure pipeline definitions follow same versioning as container images; Reduce complexity by using existing container registry,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action from a Tekton bundle, lines 2412-2413: 'You can use the bundles resolver to specify a remote pipeline, task, or StepAction definition from a Tekton bundle. A Tekton bundle is an OCI image available from any OCI repository, such as an OpenShift container repository.'",user_story,Reference,"When I need to distribute pipelines and tasks as versioned container images, I want to reference them from OCI registries, so I can leverage existing container infrastructure and version control.",core,"User story for Bundles resolver, focusing on OCI-based distribution.",Reuse existing pipeline and task definitions from various sources,Pipeline developer,,Configure bundles resolver; Manage OCI registry access,"Specifying a remote pipeline, task, or step action from a Tekton bundle"
Ensure consistent authentication for bundle access; Minimize configuration in individual pipeline definitions; Reduce likelihood of permission errors when accessing bundles,create-combined.adoc,"create-combined.adoc -> Configuring the bundles resolver, lines 2429-2430: 'You can change the default service account name and the default kind for pulling resources from a Tekton bundle by configuring the bundles resolver.'",user_story,Configure,"When setting up bundle-based task distribution, I want to configure the default service account and resource kind for bundle requests, so I can standardize how my team accesses bundled tasks.",core,Configuration task for platform engineers managing bundles resolver.,Reuse existing pipeline and task definitions from various sources,Platform engineer,Have cluster-admin or equivalent permissions to edit TektonConfig,Configure registry credentials; Set up service accounts,Configuring the bundles resolver
Ensure pipeline definitions use specific immutable versions; Minimize risk of unexpected changes from bundle updates; Reduce YAML duplication across pipeline definitions,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action using the bundles resolver, lines 2460-2461: 'When creating a pipeline run, you can specify a remote pipeline from a Tekton bundle. When creating a pipeline or a task run, you can specify a remote task from a Tekton bundle.'",user_story,Develop,"When creating a pipeline or task, I want to reference a specific version from an OCI bundle by image name, so I can ensure reproducible builds using container-native versioning.",core,Procedural user story for using bundles resolver in pipeline/task definitions.,Reuse existing pipeline and task definitions from various sources,Pipeline developer,Know the OCI bundle URL and resource name; Bundles resolver must be configured; Service account has registry access,Manage container registry credentials; Version container images,"Specifying a remote pipeline, task, or step action using the bundles resolver"
Minimize authentication complexity for public repositories; Ensure pipeline definitions reference specific Git commits for reproducibility; Reduce dependency on catalog services,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action with anonymous Git cloning, lines 2625-2626: 'You can use the Git resolver to access a remote pipeline, task, or StepAction definition from a Git repository. For anonymous access, you can clone repositories with the resolver without needing authentication credentials.'",user_story,Reference,"When I need tasks from public Git repositories, I want to reference them directly by repository URL and file path, so I can use version-controlled definitions without authentication overhead.",core,User story for Git resolver with anonymous access to public repos.,Reuse existing pipeline and task definitions from various sources,Pipeline developer,,Configure Git resolver for anonymous access; Specify Git branch or commit,"Specifying a remote pipeline, task, or step action with anonymous Git cloning"
Ensure consistent Git resolution behavior across pipelines; Minimize repeated configuration in pipeline definitions; Reduce likelihood of timeout failures on slow networks,create-combined.adoc,"create-combined.adoc -> Configuring the Git resolver for anonymous Git cloning, lines 2658-2659: 'If you want to use anonymous Git cloning, you can configure the default Git revision, fetch timeout, and default repository URL for pulling remote pipelines and tasks from a Git repository.'",user_story,Configure,"When setting up Git-based task resolution, I want to configure default Git settings like revision and timeout, so I can standardize how my team references Git repositories.",core,Configuration task for Git resolver anonymous mode.,Reuse existing pipeline and task definitions from various sources,Platform engineer,Have cluster-admin or equivalent permissions to edit TektonConfig,Set network timeout policies; Configure default Git branches,Configuring the Git resolver for anonymous Git cloning
Ensure pipeline uses specific Git commit for reproducibility; Minimize risk of breaking changes from upstream repository updates; Reduce YAML duplication by referencing Git sources directly,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action by using the Git resolver for anonymous cloning, lines 2697-2700: 'Specify a remote pipeline, task, or step action from a Git repository by using the Git resolver with anonymous cloning. You can reference remote pipelines, tasks, and StepAction definitions from a Git repository by using anonymous cloning.'",user_story,Develop,"When creating a pipeline or task, I want to reference a YAML file from a specific Git branch or commit, so I can use version-controlled task definitions with full traceability.",core,Procedural user story for using Git resolver with anonymous cloning.,Reuse existing pipeline and task definitions from various sources,Pipeline developer,"Know the Git repository URL, branch/revision, and file path; Git resolver must be configured for anonymous access",Pin to specific Git commits; Track upstream task changes,"Specifying a remote pipeline, task, or step action by using the Git resolver for anonymous cloning"
Ensure secure access to private repository task definitions; Minimize exposure of credentials in pipeline definitions; Reduce overhead of managing Git clone credentials,create-combined.adoc,"create-combined.adoc -> Specifying a remote pipeline, task, or step action with an authenticated Git API, lines 2776-2777: 'You can use the Git resolver to access a remote pipeline, task, or StepAction definition from a Git repository by using the provider's API with authentication.'",user_story,Reference,"When I need tasks from private Git repositories, I want to use authenticated API access with provider-specific credentials, so I can securely reference proprietary or internal task definitions.",core,User story for Git resolver with authenticated SCM API access for private repos.,Reuse existing pipeline and task definitions from various sources,Pipeline developer,"Have API credentials for Git provider (GitHub, GitLab, Bitbucket, etc.); Git resolver configured with SCM provider settings",Manage Git API tokens; Configure SCM provider credentials,"Specifying a remote pipeline, task, or step action with an authenticated Git API"
