job_number,source_book,book_title,job_statement,job_type,persona,job_map_stage,granularity,prerequisites,related_jobs,desired_outcomes,section,evidence,notes,doc
17,install_config,Installing and configuring,"When deploying pipelines in production environments, I want to configure control plane settings like sidecar behavior and metrics collection, so I can tailor pipeline execution to my cluster's characteristics",core,Cluster administrator,Configure,main_job,Install OpenShift Pipelines | Access to TektonConfig CR,Change default service account | Configure pipeline resolvers | Disable service monitor,Minimize task run startup time in non-sidecar environments | Ensure metrics accurately reflect pipeline performance | Reduce resource consumption for unnecessary features | Customize pipeline behavior to match operational needs,Configuring the pipelines control plane,"install_config-combined.adoc -> Configuring the {pipelines-title} control plane, lines 621-668. Key quotes: 'You can configure the {pipelines-shortname} control plane to suit your operational needs by editing the TektonConfig custom resource', 'Customize settings such as metrics collection, sidecar injection, and service account defaults'","Main job covering control plane configuration. Multiple user stories for specific settings like sidecars, metrics, service accounts, API fields.",install_config-combined.adoc
18,install_config,Installing and configuring,"When enforcing security policies across pipelines, I want to change the default service account used by task and pipeline runs, so I can align with organizational RBAC requirements",core,Cluster administrator,Secure,main_job,Create custom service account with appropriate permissions | Install OpenShift Pipelines,Configure RBAC resources | Disable automatic RBAC creation,Ensure all pipeline runs use approved service accounts | Reduce likelihood of privilege escalation | Minimize manual service account specification per run | Align pipeline execution with security policies,Changing the default service account for OpenShift Pipelines,"install_config-combined.adoc -> Changing the default service account, lines 764-784. Key quotes: 'You can change the default service account used by {pipelines-shortname} for task and pipeline runs to meet your security or operational requirements', 'default-service-account: pipeline'",Main job for service account management. Security-focused configuration.,install_config-combined.adoc
19,install_config,Installing and configuring,"When managing how pipelines fetch remote resources, I want to enable or disable specific resolvers and configure their behavior, so I can control resource resolution methods and security policies",core,Cluster administrator,Configure,main_job,Install OpenShift Pipelines | Understand resolver types and their security implications,Disable pipeline templates | Configure Tekton Hub integration | Migrate to Artifact Hub,Ensure only approved resolver types are available | Minimize security risks from unauthorized remote resources | Configure resolver-specific settings per organizational policy | Reduce complexity by disabling unused resolvers,Configuring pipeline resolvers,"install_config-combined.adoc -> Configuring pipeline resolvers, lines 903-949. Key quotes: 'You can enable or disable specific pipeline resolvers, such as git, cluster, bundle, and hub resolvers, to control how your pipelines fetch resources', 'enable-bundles-resolver', 'enable-cluster-resolver', 'enable-git-resolver', 'enable-hub-resolver'",Main job for resolver configuration. Security and resource management focus. Multiple user stories for different resolvers.,install_config-combined.adoc
20,install_config,Installing and configuring,"When Tekton Hub deprecation affects my pipelines, I want to migrate to Artifact Hub as the catalog source, so I can ensure uninterrupted catalog resolution and continue using prebuilt tasks",core,Platform engineer,Migrate,main_job,Identify resources using Tekton Hub | Understand Artifact Hub catalog structure | Access to pipeline resource definitions,Configure pipeline resolvers | Assess migration impact,Ensure zero disruption to pipeline execution during migration | Minimize manual changes required across resources | Reduce likelihood of catalog resolution failures | Verify all Tekton resources use supported catalog,Migrating from Tekton Hub to Artifact Hub,"install_config-combined.adoc -> Migrating from Tekton Hub to Artifact Hub, lines 1065-1189. Key quotes: 'Red Hat deprecated this service. Use _Artifact Hub_, a centralized catalog for Tekton resources, instead', 'The hub resolver now defaults to the artifact type', 'You can update existing Tekton resources to use {artifact-hub} instead of the deprecated {tekton-hub}'",Main job for Tekton Hub to Artifact Hub migration. Migration-focused with assessment and execution sub-tasks.,install_config-combined.adoc
21,install_config,Installing and configuring,"When managing cluster resources over time, I want to automatically remove completed TaskRun and PipelineRun objects, so I can prevent resource exhaustion and maintain optimal cluster performance.",core,Cluster administrator,Operate,main_job,Install OpenShift Pipelines Operator | Have cluster-admin privileges,Monitor cluster resource usage | Configure namespace-specific policies,Minimize cluster resource consumption from stale objects | Reduce storage costs from unused pipeline runs | Prevent performance degradation from excessive API objects | Ensure automatic cleanup without manual intervention,Automatic pruning of task runs and pipeline runs,install_config-combined.adoc -> Automatic pruning of task runs and pipeline runs (lines 1426-1436): 'You can automatically prune stale TaskRun and PipelineRun resources to free up cluster resources. Pipelines provides a configurable pruner that removes unused objects based on your policies.',Core operational job for lifecycle management. Two implementation approaches: scheduled (cron-based) and event-driven (real-time).,install_config-combined.adoc
22,install_config,Installing and configuring,"When cluster security policies require fine-grained permission control, I want to disable automatic cluster-wide RBAC creation, so I can prevent privileged role bindings and manually manage permissions per namespace.",core,Cluster administrator,Secure,main_job,Have cluster-admin privileges | Understand pipelines-scc security implications,Manually create namespace-specific RBAC resources | Configure Trusted CA bundle separately,Minimize security risk from RunAsAny SCC privilege | Ensure RBAC resources only exist in approved namespaces | Reduce blast radius of pipeline permissions,Disabling the automatic creation of RBAC resources,"install_config-combined.adoc -> Disabling the automatic creation of RBAC resources (lines 1240-1276): 'You can disable the automatic creation of cluster-wide RBAC resources by using the Pipelines Operator to improve security and control over permissions.' 'Among these RBAC resources, the pipelines-scc-rolebinding security context constraint (SCC) role binding resource is a potential security issue, because the associated pipelines-scc SCC has the RunAsAny privilege.' Set createRbacResource to false.",Security-focused configuration job. Addresses RunAsAny SCC privilege risk.,install_config-combined.adoc
23,install_config,Installing and configuring,"When enforcing supply chain security, I want to disable inline taskSpec and pipelineSpec definitions, so I can require all pipelines and tasks to be referenced from version-controlled resources or resolvers.",core,Security engineer,Secure,main_job,Have TektonConfig modification access | Establish pipeline and task versioning strategy,Configure Tekton resolvers | Implement pipeline catalog,Minimize risk of unaudited code execution | Ensure all pipeline definitions are version-controlled | Reduce likelihood of configuration drift from inline specs | Enforce compliance with security scanning policies,Disabling inline specification of pipelines and tasks,"install_config-combined.adoc -> Disabling inline specification of pipelines and tasks (lines 1284-1370): 'You can disable the inline specification of tasks and pipelines to enforce the use of referenced resources and improve security.' Shows disable-inline-spec parameter accepting 'pipeline,pipelinerun,taskrun' to prevent taskSpec: and pipelineSpec: usage. 'Instead, you must use a taskRef: spec to incorporate a task from a Task CR or to specify a task using a resolver.'",Supply chain security control. Forces use of taskRef/pipelineRef instead of inline definitions.,install_config-combined.adoc
24,install_config,Installing and configuring,"When customizing admission control behavior, I want to configure webhook failure policies and timeouts in TektonConfig, so I can control how Kubernetes handles webhook failures and prevent pipeline submission delays.",core,Platform engineer,Configure,main_job,Understand webhook types (mutating vs validating) | Have TektonConfig modification access,Monitor webhook latency | Troubleshoot webhook timeout errors,Minimize pipeline submission failures from webhook timeouts | Ensure appropriate failure policy for production stability | Reduce API server load from slow webhooks,Setting additional options for webhooks,"install_config-combined.adoc -> Setting additional options for webhooks (lines 1969-2118): 'You can configure advanced webhook options, such as failure policies and timeouts, for Pipelines controllers to improve stability and error handling.' Shows webhookConfigurationOptions with failurePolicy, timeoutSeconds, sideEffects settings for validation.webhook.pipeline.tekton.dev and webhook.pipeline.tekton.dev. Covers pipeline, triggers, pipelinesAsCode, and hub controllers.",Webhook configuration applies to multiple controllers. Cannot configure operator webhooks.,install_config-combined.adoc
25,install_config,Installing and configuring,"When operating in disconnected or private networks, I want to configure a custom Artifact Hub URL in TektonConfig, so I can resolve pipeline resources from an internal registry instead of public artifacthub.io.",consumption,Cluster administrator,Configure,main_job,Deploy private Artifact Hub instance | Configure network connectivity from resolver pods | Configure TLS certificates for HTTPS,Configure authentication for private hub | Mirror pipeline catalog to private hub,Minimize dependency on external network connectivity | Ensure resolver pods can access pipeline resources | Reduce catalog lookup latency,Configuring custom Artifact Hub endpoint for disconnected environments,"install_config-combined.adoc -> Configuring custom Artifact Hub endpoint (lines 1201-1231): 'For disconnected or private environments, configure a custom Artifact Hub endpoint.' Shows hub-resolver-config with default-artifact-hub-url. Important note: 'When using a private Artifact Hub: Verify network connectivity from the resolver pods. Configure TLS certificates for HTTPS endpoints. Configure authentication, if required. Ensure catalog names match those published in your private hub.'",Consumption-chain job for disconnected/air-gapped environments. Requires private Artifact Hub deployment.,install_config-combined.adoc
26,resource,Managing performance and resource use,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",core,Platform Engineer,Operate,main_job,Install OpenShift Pipelines,Monitor cluster resource usage | Set compute resource quotas,Minimize pipeline execution time | Reduce likelihood of pipeline failures | Ensure adequate cluster resources for concurrent pipeline runs,Managing OpenShift Pipelines performance,"resource-combined.adoc -> Managing OpenShift Pipelines performance, lines 1-46",Main job covering performance optimization for high-volume pipeline environments,resource-combined.adoc
27,resource,Managing performance and resource use,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",core,Cluster Administrator,Configure,main_job,Install OpenShift Pipelines | Create namespaces,Set resource quotas | Configure limit ranges,Minimize impact on other applications | Ensure fair resource distribution across tenants | Prevent resource exhaustion,Reducing resource consumption of OpenShift Pipelines,"resource-combined.adoc -> Reducing resource consumption of OpenShift Pipelines, lines 54-72",Main job for resource governance in multitenant clusters,resource-combined.adoc
28,resource,Managing performance and resource use,"When using referenced tasks from bundles or shared pipelines, I want to override step-level resources in the PipelineRun, so I can allocate more CPU or memory without modifying the original task definition.",core,Pipeline Developer,Configure,main_job,Install OpenShift Pipelines,Use Tekton bundles | Configure Pipelines as Code,Prevent task step failures due to insufficient resources | Avoid modifying shared pipeline definitions | Ensure precise resource allocation for specific steps,Override step level compute resources in a PipelineRun,"resource-combined.adoc -> Override step level compute resources in a PipelineRun, lines 185-211",Main job for runtime resource customization without modifying task definitions,resource-combined.adoc
29,resource,Managing performance and resource use,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",core,Cluster Administrator,Configure,main_job,Install OpenShift Pipelines,Set resource quotas per namespace | Configure limit ranges,Minimize resource consumption by pipeline workloads | Ensure fair resource allocation across pipelines | Prevent pipeline pods from exceeding quotas,Setting compute resource quota for OpenShift Pipelines,"resource-combined.adoc -> Setting compute resource quota for OpenShift Pipelines, lines 306-318",Main job for pipeline-level quota management; currently not directly supported,resource-combined.adoc
30,resource,Managing performance and resource use,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",core,SRE,Operate,main_job,Install OpenShift Pipelines,Perform cluster maintenance | Schedule node drains,Prevent eviction of running critical workloads | Minimize disruption during cluster upgrades | Ensure non-reentrant tasks complete successfully,Protecting Tekton workload pods from eviction during node drains,"resource-combined.adoc -> Protecting Tekton workload pods from eviction during node drains, lines 627-641",Main job for protecting workloads during voluntary disruptions,resource-combined.adoc
31,resource,Managing performance and resource use,"When running many concurrent tasks on a single cluster, I want to distribute pipeline workloads across multiple clusters, so I can overcome performance limitations and resource contention.",core,Platform Engineer,Operate,main_job,Install OpenShift Pipelines | Have multiple OpenShift clusters available,Manage pipeline performance | Configure Kueue,Reduce resource contention on Kubernetes API server | Minimize impact of cluster failures | Improve overall pipeline capacity | Ensure horizontal scalability,Multicluster support for OpenShift Pipelines,"resource-combined.adoc -> Multicluster support for OpenShift Pipelines, lines 751-761",Main job for horizontal scaling via multicluster distribution; Technology Preview feature,resource-combined.adoc
32,create,Creating CI/CD pipelines,"When I need to automate application build, test, and deployment workflows, I want to create a customized CI/CD solution using pipelines, so I can reduce manual effort and ensure consistent delivery processes.",core,Application developer,Develop,main_job,Have OpenShift cluster access | Have OpenShift Pipelines installed | Have pipelines CLI installed,Configure pipeline triggers | Monitor pipeline execution | Manage pipeline resources,Minimize time to deploy application changes | Reduce likelihood of deployment errors | Ensure consistent build and test processes across environments,Creating CI/CD solutions for applications using OpenShift Pipelines,"create-combined.adoc -> Creating CI/CD solutions for applications using OpenShift Pipelines, lines 64-76",Main job covering the overall goal of creating CI/CD pipelines for applications,create-combined.adoc
33,create,Creating CI/CD pipelines,"When I need to create CI/CD pipelines for my application, I want to access pipeline creation options from the Developer perspective, so I can build automated delivery workflows integrated with my development process.",core,Application developer,Configure,main_job,,Deploy applications using pipelines | Monitor pipeline execution,Minimize time to create a working pipeline | Reduce complexity of pipeline configuration | Ensure pipelines integrate with application lifecycle,Working with OpenShift Pipelines in the Developer perspective,"create-combined.adoc -> Working with OpenShift Pipelines in the Developer perspective, lines 1503-1512",Main job covering pipeline creation in Developer perspective. Two primary approaches: Pipeline builder and From Git option.,create-combined.adoc
34,create,Creating CI/CD pipelines,"When I have created pipelines, I want to view pipeline details and execution status in a visual interface, so I can understand pipeline structure, monitor runs, and troubleshoot failures efficiently.",core,Application developer,Monitor,main_job,Create a pipeline,Start pipeline runs | Debug failed pipeline runs | View pipeline metrics,Minimize time to identify failed tasks | Reduce effort to understand pipeline structure | Ensure quick access to logs and error details,Interacting with pipelines using the Developer perspective,"create-combined.adoc -> Interacting with pipelines using the Developer perspective, lines 1704-1766","Main job covering pipeline monitoring and interaction. Developer perspective provides visual representation of serial tasks, parallel tasks, finally tasks, and when expressions.",create-combined.adoc
35,create,Creating CI/CD pipelines,"When I have created a pipeline, I want to start it with configured resources and credentials, so the included tasks execute in the defined sequence to build and deploy my application.",core,Application developer,Execute,main_job,Create a pipeline | Define pipeline resources,Configure Git resources | Configure image resources | Add authentication secrets,Minimize time to execute pipeline run | Reduce errors from missing resources or credentials | Ensure pipeline tasks execute successfully,Starting pipelines from Pipelines view,"create-combined.adoc -> Starting pipelines from Pipelines view, lines 1775-1839","Main job covering pipeline execution. Can start from Pipelines view, Pipeline Details page, or Topology view. Supports adding secrets for private Git servers and image registries.",create-combined.adoc
36,create,Creating CI/CD pipelines,"When I need to modify an existing pipeline, I want to edit pipeline configuration through the web console, so I can add tasks, change parameters, or update resources without recreating the entire pipeline.",core,Application developer,Modify,main_job,Have an existing pipeline,Add pipeline tasks | Configure task parameters | Remove pipeline tasks,Minimize time to update pipeline configuration | Reduce risk of breaking working pipelines | Ensure changes are applied without pipeline recreation,Editing pipelines,"create-combined.adoc -> Editing pipelines, lines 1897-1912","Main job covering pipeline modification. Uses Pipeline builder page for visual editing. Can add/remove tasks, modify parameters, and update resources.",create-combined.adoc
37,create,Creating CI/CD pipelines,"As a cluster administrator, when I want to provide reusable pipeline patterns, I want to create pipeline templates in the openshift namespace, so developers can reuse standardized pipelines across projects.",core,Cluster administrator,Configure,main_job,Have cluster administrator permissions | Install OpenShift Pipelines Operator,Define runtime labels for templates | Define pipeline type labels,Minimize developer effort to create common pipelines | Ensure consistent pipeline patterns across teams | Reduce duplication of pipeline definitions,Creating pipeline templates in the Administrator perspective,"create-combined.adoc -> Creating pipeline templates in the Administrator perspective, lines 1945-1981",Administrator-specific job for creating reusable templates. Templates must be created in openshift namespace with runtime and type labels.,create-combined.adoc
38,create,Creating CI/CD pipelines,"When I need to analyze pipeline performance across my organization, I want to view consolidated execution statistics, so I can identify trends, optimize workflows, and report on CI/CD effectiveness.",core,Platform administrator,Analyze,main_job,Install Tekton Results | Enable OpenShift Pipelines console plugin,Monitor pipeline success ratios | Track pipeline run durations | View pipeline run trends,Minimize time to identify performance trends | Ensure visibility into pipeline success rates | Reduce effort to generate pipeline reports,Pipeline execution statistics in the web console,"create-combined.adoc -> Pipeline execution statistics in the web console, lines 1990-2002",Requires Tekton Results installation and console plugin enablement. Provides statistics for all pipelines together and individual pipelines.,create-combined.adoc
39,create,Creating CI/CD pipelines,"When building container images in pipelines that require RHEL packages, I want to use Red Hat entitlements, so I can access RHEL repositories during the build process.",core,Pipeline developer,Configure,main_job,Enable the Insights Operator feature on the OpenShift cluster | Configure importing of Red Hat entitlements into the Insights Operator from Simple Content Access (SCA) | Log in to the OpenShift cluster using the oc CLI,Build container images using Buildah task | Configure pipeline workspaces | Manage secrets across namespaces,Minimize time required to configure entitlement access | Reduce likelihood of build failures due to missing RHEL packages | Ensure entitlements are securely managed across pipeline namespaces | Avoid manual secret management overhead,Using Red Hat entitlements in pipelines,"create-combined.adoc -> Using Red Hat entitlements in pipelines (abstract and overview), lines 6358-6368","This main job has two distinct user stories for different implementation approaches: manual secret copying (simpler, for few namespaces) vs CSI driver (automated, for many namespaces).",create-combined.adoc
40,create,Creating CI/CD pipelines,"When building CI/CD pipelines, I want to reuse existing pipeline and task definitions from various sources, so I can avoid duplicating code and leverage community-tested solutions.",core,Pipeline developer,Develop,main_job,,Create pipeline runs | Create task runs | Define custom tasks,Minimize time spent recreating common pipeline tasks | Reduce likelihood of errors from copy-paste mistakes | Ensure access to latest versions of reusable components | Increase pipeline maintainability through centralized definitions,"Specifying remote pipelines, tasks, and step actions using resolvers","create-combined.adoc -> Specifying remote pipelines, tasks, and step actions using resolvers, lines 2176-2181: 'Pipelines and tasks are reusable blocks for your CI/CD processes. You can reuse pipelines or tasks that you developed before, or that were developed by others, without having to copy and paste their definitions.'",Main job covering all resolver types. This is the overarching goal - reusing existing pipeline/task definitions.,create-combined.adoc
41,records,Observability in OpenShift Pipelines,"When managing pipeline operations at scale, I want to preserve complete execution history beyond the lifecycle of CRs, so I can maintain long-term observability and compliance without resource bloat.",core,Platform Engineer,Observe,main_job,,Configure retention policies | Query historical pipeline data | Monitor pipeline performance,Minimize storage overhead from keeping live CRs | Ensure complete audit trail is preserved | Enable historical analysis without performance impact,Using Tekton Results for OpenShift Pipelines observability,"records-combined.adoc -> Assembly header and abstract, lines 59-66",Core observability job - archives PipelineRun and TaskRun information after CR deletion,records-combined.adoc
42,records,Observability in OpenShift Pipelines,"When enabling observability for pipelines, I want to ensure Tekton Results is properly configured, so I can capture the data I need without manual intervention.",core,Platform Engineer,Configure,main_job,Install OpenShift Pipelines,Configure log forwarding | Set up external database | Define retention policies,Minimize configuration complexity | Ensure all required data is captured | Reduce likelihood of misconfiguration,Configuring Tekton Results,"records-combined.adoc -> Section 'Configuring Tekton Results', lines 256-267",Main configuration job - Tekton Results enabled by default but requires additional configuration for logging,records-combined.adoc
43,records,Observability in OpenShift Pipelines,"When monitoring Tekton Results health and performance, I want to track storage latency and deletion metrics, so I can identify performance issues and data loss risks.",core,SRE,Monitor,main_job,Configure ServiceMonitor for Tekton Results | Have Prometheus Operator deployed,Query metrics with PromQL | Create alerting rules,Minimize time to detect storage failures | Reduce likelihood of undetected data loss | Ensure visibility into deletion timing,Observability metrics for Tekton Results,"records-combined.adoc -> Section 'Observability metrics for Tekton Results', lines 508-603","Metrics exposed by tekton-results-watcher on port 9090 - covers storage performance, failures, deletion duration and count",records-combined.adoc
44,records,Observability in OpenShift Pipelines,"When investigating pipeline execution history, I want to query archived results and records, so I can analyze past runs and troubleshoot issues.",core,Pipeline Admin,Observe,main_job,Install opc utility (via tkn CLI package) | Configure authentication for Tekton Results API,Search with CEL queries | Retrieve YAML manifests | Access log data,Minimize time to locate specific pipeline runs | Ensure complete execution history is accessible | Reduce dependency on live CRs for investigation,Querying Tekton Results for results and records,"records-combined.adoc -> Section 'Querying Tekton Results for results and records', lines 611-622","Uses opc CLI utility - can query by name, UUID, or CEL expressions",records-combined.adoc
